	ENSG00000000003	ENSG00000000005	ENSG00000000419	ENSG00000000457	ENSG00000000460	ENSG00000000938	ENSG00000000971	ENSG00000001036	ENSG00000001084	ENSG00000001167	ENSG00000001460	ENSG00000001461	ENSG00000001497	ENSG00000001561	ENSG00000001617	ENSG00000001626	ENSG00000001629	ENSG00000001630	ENSG00000001631	ENSG00000002016	ENSG00000002079	ENSG00000002330	ENSG00000002549	ENSG00000002586	ENSG00000002587	ENSG00000002726	ENSG00000002745	ENSG00000002746	ENSG00000002822	ENSG00000002834	ENSG00000002919	ENSG00000002933	ENSG00000003056	ENSG00000003096	ENSG00000003137	ENSG00000003147	ENSG00000003249	ENSG00000003393	ENSG00000003400	ENSG00000003402	ENSG00000003436	ENSG00000003509	ENSG00000003756	ENSG00000003987	ENSG00000003989	ENSG00000004059	ENSG00000004139	ENSG00000004142	ENSG00000004399	ENSG00000004455	ENSG00000004468	ENSG00000004478	ENSG00000004487	ENSG00000004534	ENSG00000004660	ENSG00000004700	ENSG00000004766	ENSG00000004776	ENSG00000004777	ENSG00000004779	ENSG00000004799	ENSG00000004809	ENSG00000004838	ENSG00000004846	ENSG00000004848	ENSG00000004864	ENSG00000004866	ENSG00000004897	ENSG00000004939	ENSG00000004948	ENSG00000004961	ENSG00000004975	ENSG00000005001	ENSG00000005007	ENSG00000005020	ENSG00000005022	ENSG00000005059	ENSG00000005073	ENSG00000005075	ENSG00000005100	ENSG00000005102	ENSG00000005108	ENSG00000005156	ENSG00000005175	ENSG00000005187	ENSG00000005189	ENSG00000005194	ENSG00000005206	ENSG00000005238	ENSG00000005243	ENSG00000005249	ENSG00000005302	ENSG00000005339	ENSG00000005379	ENSG00000005381	ENSG00000005421	ENSG00000005436	ENSG00000005448	ENSG00000005469
DRR001798	2923.53361	1	3671.0023	438.1871532	1998.07164	1	1457.28935	10488.11632	6132.69584	3153.005	714.69005	3559.6244	9220.9942	4	6479.99604	1	6482.08532	30474.98981	2404.133931	580.7505268	8.000001	3032.62116	4631.99222	10479.00352	148.0661	4.01422	25.99998	279.91883	4060.00257	48460.52327	1899.00534	5.000006	19008.30994	2810.45201	190.99999	132.26018	253.00023	3939.137	266.69296	2772.83066	7047.41336	962.96242	5833.635901	80.22098	3237.0447	10027.41038	300.48178	12526.6	7279.99634	23093.64672	7.0067	23153.97655	16956.96977	3588.5294	3475.6548	7164.07523	2381.014315	39.00002	425.00003	6019.0015	700.9996	119	75.15321	13.53916	0	7205.00503	2175.74555	9309.20121	9	0	4549.0008	6947.07713	2	10037.99914	2139.17414	36262.5524	903.00004	444.4365811	5650.29	8697.275	29.00001	34.000045	2692.19872	3157.10225	15.2177	407.58265	5719.9938	2528.70039	1267.00073	366.0000705	98	2858.618493	13154.19521	78.05685	0	0	833.82808	2465.64839	523.00026
DRR001799	2699.6171	1	3780.004	735.0389	1738.73643	0	1235.31911	6158.117	7663.1114	3874.958	1014.7026	6019.10702	9227.996	19	6107.00682	6	5485.00067	22535.23118	2689.35928	1130.82352	28.00003	2294.21016	3342.98838	7784.99978	180.7856	5.01922	41	261.40921	3547.000923	40390.16783	4067.004121	5.000003774	29184.17266	1867.65429	288.9999	117.0810924	223.0004	5961.50498	457.70291	3927.01311	6849.34514	1403.7585	5661.05556	127.19975	3494.073903	7763.0893	307.87622	13754.88	7875.9947	23194.41656	12.2952	26609.12872	14915.02449	5487.78795	4189.3033	6431.41239	2162.05429	58.47888	318.999696	6727.9999	623.99969	73	90.1088	24.39108	1.0164	7493.00797	2818.11364	12814.88202	7	1	4767	7007.039	2	16014.02046	2207.81252	33565.6849	895.99974	730.53	4561.67	7830.3109	10	47.999986	2767.16518	1373.3415	12.76544	569.98018	6623.96853	2054.17059	2717.99905	178.00032	72.99995	2613.51135	20714.01578	65.05879	0	2.000289	1394.20305	1563.01127	543.99959
DRR002274	608.0367	1	967.0000613	281.2493	675.08681	0	310.88809	3404.94198	734.779121	706.8899	98.59351	859.28129	2501.99634	0	6905.3588	1	917.04431	2269.4003	358.3719342	402.49884	1	665.03666	1372.03385	2383.99768	35.96182	2.04145	4	232.17944	1197.00017	9361.21749	1087.516847	2	3050.08022	494.8029613	214.0001	16.177441	193.80028	1486.6271	198.83145	1328.34608	1219.02446	422.1243	1728.0995	38.69015	4318.903097	3295.5306	45.56983	1420.311	4413.99725	9949.0048	2.06436	11789.08367	3863.99823	1913.52374	1936.718843	515.7546	417.2977187	3	196.0002433	1694.99749	156.00021	1	34.00336	20.07605	4.00606	2554.00246	634.2059202	1493.32784	1.15049	2	1578.9983	1214.08974	0	965.99924	109.919204	12948.47	88	601	1293.133	2313.84695	2.000005	6.583156	1115.70508	671.255489	5.77234	396.0004205	2838.32254	2045.69556	247.00002	0	1	896.6426233	1802.72466	13.015097	0	0	596.70464	1424.26087	108
DRR002594	755.04614	1	2383.002789	312.8881	340.6578227	0	3.819938	2003.225	820.6713	1116.5288	405.617016	1350.56782	1551.0006	416	1074.9998	5	1989.96359	4747.166232	779.0216399	485.82768	96.000047	550.69365	1390.9971	3422.99948	47.4002	1.02685	1	7.98256	458.99991	11129.00713	561.466912	0	3336.6162	155.023825	195.99972	32.89122079	246.88479	1338.563022	41.941883	1603.99633	1325.502916	496.9967	2353.938995	63.07153	1076.000098	1481.8874	188.35338	2867.856	808.999712	6488.55847	17.43902	2584.274399	3689.99435	1832.844218	377.20363	3870.7181	624.8320402	7.8921	78.99998	1195.9991	0	4	17.365	7.81122	1	749.9994119	345.9644008	3927.02579	4.81497	0	863	1102.583911	0	2277.99599	1245.69755	14197.228	665.9999	0	453.331	1971.470174	2.000005	0	646.63435	1048.40528	23.71644605	159.9999865	1138.218396	380.72001	249.999995	181.9999656	477.9998	689.4586899	3861.22537	6.0115	0	1.00938	567.2832083	1876.256893	111.99998
DRR002596	632.0883	1	2308.0001	277.983	168.53277	2	1.5304902	1612.23742	1423.922	1159.64	275.07982	1146.5274	1287.00025	261	657.99981	3	1447.99864	3580.74	661.1209995	724.00017	56.00009	620.3099	1532.6079	3386.99843	25.35176	1.01672	0	4.06416	354.00021	8109.45405	538.4514189	0	3038.93773	42.00001154	61.00002	30.96642	141.05083	1022.51075	86.124651	1370.93891	851.9403765	455.94531	2456.9121	79.64364	918.8651164	1617.36204	154.208	2518.862	666.00027	6933.29148	6.28719	2122.43603	2269.9998	2111.17054	74.46051	3735.368	577.8905879	15.7842	64.99991	1268.9982	0	0	8.524342	20.6999	0	414.00029	263.72387	3370.081039	0	0	929	757.02928	1	1880.00131	810.65721	13839.48	582.0005	0	588.533	1347.2458	0	1.00002	564.11826	805.2365261	26.64950884	154.1956606	889.55694	635.95252	510.0004	121.000101	346.0003	965.5367168	3109.32925	4.02107	0	1.01746	572.47933	1604.98303	119.99996
DRR002597	621.1383	1	2947.9974	359.7186	178.263466	5	3.38598	1990.81806	3003.846225	1473.669	413.975988	1413.036	1148.0003	374	450.999509	1.75278	2021.73451	4496.274267	793.27088	880.63663	24.99998	555.2543	2106.86273	3807.00234	33.961245	3.13156	5	7.61546	305	7493.87449	629.84955	0	3911.39278	28.16934081	47.00004	56.04421	102.2244	1557.6283	125.320631	1297.96114	1041.687094	620.6565299	3126.18411	108.6091	539	1555.16926	220.51606	2548.18	499.9997797	8288.88101	11.4142	2608.68713	2438.0004	3018.448801	80.39289	4667.96479	648.2918	3.15684	39.99997	1531.00398	0	1	3.282592	13.72229	0	568.00004	411.39934	4225.83685	2.29186	0	1079	728.25057	1	1904.995105	682.12229	16869.66	659.0005	0	467.277	1652.7124	0	0	840.47206	967.60876	26.03095	108.01426	1206.984	578.61213	661.9996859	169.9998766	278	1389.410995	3530.26469	8.10009	0	3.24129	575.7325006	1630.7803	156.99995
DRR003595	1400.07	1	1838.9955	537.16943	304.17159	0	6911.52347	6204.1818	1206.13178	1655.60319	140.405512	2542.85139	784.0003938	67	687.9994	6.83369	5187.0021	7784.45079	1727.339347	443.2079085	155.00001	542.863	1011.17373	3256.99759	615.4623064	0	4.000001	5.22399	272.99969	9177.26647	762.38166	1	12222.15668	316.7178928	140.99997	3.133149	389.29649	3594.19212	29.974782	2851.955086	8442.160109	721.9972	4619.308403	83.5938	2.000003272	2006.9961	537.82537	2266.218	1100.00008	3117.968456	3.12078	3323.04584	4269.9969	2199.467836	67.09818	5901.82919	1365.531444	7.8921	36.000046	2111.00466	0	1	14.17146	12.40587	1.04904	2567.99638	1212.3148	8243.86226	0	0	1897.0028	660.00066	0	1896.00232	257.706341	4651.114	645.8761	0	400.75	1346.7265	0	319.78823	475.5401313	2160.94615	19.386403	103.433979	2295.997509	632.94688	1983.9998	702.0000922	778	1119.336998	2139.99107	90.006292	0	0	838.8350629	433.64133	1201.00001
DRR003596	2063.79972	1	1767.995	652.6889	551.66403	0	8085.57467	4056.5529	1335.43197	2067.78834	266.15076	1145.90051	1381.99991	80	303.99956	5.89319	5971.002795	861.8963	1993.12426	487.27174	200.99992	559.78166	2277.70927	2519.99764	782.6323	1.0143	17.00002	2.35185	362.00015	6980.3175	1168.859689	0	15341.1286	746.2292	133.99994	13.31871	445.6658	4412.07993	11.59132	1968.65709	6144.72279	687.7522001	5725.23196	86.18357	0.999999791	2796.06853	184.34188	1735.911	608.000404	3275.521925	6.18849	3327.17765	6016.004	2375.335758	131	6742.265	1593.004992	33.1468	66.00008774	3065.99971	3.000001	2	24.73238	4.57529	3.00371	986.99962	855.83468	5982.736867	0	0	1156.9993	840.45337	0	1832.99788	133.6618	8196.627	1736.1893	0	741.896	2344.30348	0	282.60308	988.86928	1942.28475	113.34357	221.0001571	2885.66184	720.4230776	1939.0003	384.9995033	1132	2235.06564	2130.2628	55.11887	0	0	764.9172701	647.2110567	1690.00158
DRR003597	1425.67154	1	1799.9954	411.25688	475.5140108	0	2803.89	4860.99881	1083.68404	1439.1967	264.55494	2249.87275	959.0001	80	1036.00026	5.83923	4677.99724	6576.932	1377.909364	259.99988	194	647.14312	1181.7667	3204.99543	449.5247	2.01386	11	1.01529	336.9997206	12850.55538	898.89479	0	11355.13046	634.30677	135	1	729.2275	2508.388664	17.782743	1840.79563	6152.0985	597.8236	3227.41844	70.15686	0.999999578	2674.58651	551.847932	2275.617	1471.999626	3295.08582	3.05342	4257.54443	5339.998	1515.50519	63.25968	3137.46104	1137.152268	14.2058	62.99998	2015.00412	1	1	12.409206	5.25141	3.25424	2430.001809	1137.354557	6304.4428	1	0	1874.003	966.84586	0	2518.9961	178.32583	6525.579	1156.5614	0	539.983	888.8606	1	260.5810092	603.44933	1410.10978	42.168892	65.99999	2896.26083	639.841678	2105.986131	415.99984	687	1335.63727	1705.5778	71.007553	0	0	776.3025013	488.94453	922.00035
DRR003598	386.76924	1	1012.0006	204.2423409	305.7655	0	1549.8186	2892.38777	660.44536	1231.3695	212.27118	867.50966	680.00037	41	512.00085	0	2768.00191	2940.91957	1029.15867	264.1147437	58	481.07036	619.63103	2250.9982	957.5008	0	6	1.67427	226.0001106	8270.30684	492.05183	1	6907.44894	170.3092549	53.99996	5.79036	363.79626	1735.59522	10.1463515	926.63269	3675.111873	255.92251	2184.01988	15.67743	0	1757.0116	289.1137	449.537	566.9995971	2405.61711	1	2866.23989	2926.99772	1345.8151	83.04503009	3085.90012	446.8695853	3.15684	112.9999715	1083.0003	0	1	25.04152	5.99875	2	1119.000174	474.7406152	3314.84954	0	0	792.9999	620.45002	0	1965.00222	61.597	3582.953	571.4873	0	575.098	956.51921	0	273.9995209	380.063586	661.81098	25.939003	127.249278	1587.08401	593.97174	1318.99921	538.9998423	192	1112.30246	1703.53253	31.007886	0	0	394.6074	438.9838	407.00049
DRR006374	2.26834	1	80.00000073	39.75302	5.74671	1728.99568	7.7353	99.440961	205.01696	65	24.69239396	51.940139	111	38	0	0	52.000029	113.541	32.9681974	4.999996	0	92.77708	341.749707	1077.99934	58.06379	0	0	0	69.99996	1023.09241	184.9228	115.9999466	415.5718	1	0	3	1.01836	18.793345	6.099916014	3265.702073	19.751433	32.06871	449.441668	1.999996	0.99999979	505.2152	15.06723	33.31910151	378.0002522	187.88969	271.1975	289.69728	110.99998	125.68826	58.9243201	89.05671	14.999997	0	35.99997	86.00003	7	2	5	5.23721	0	27.00001	82.544657	99.61482	16323.5514	0	31.9999546	57.79958	0	597.9998	163.432327	790.5359	109.00002	0	215.446	39.8149	0	0	73.6308	17.331005	28.95066	7.000001395	102.9999	154.67565	432.9803	4.000001	556.00043	146.6466141	1012.30247	128.00564	27.56171	0	10.97553	28.40443201	6.9999991
DRR006375	5.32206	1	444.9991598	541.9166	85.9941	27260.988	455.1252375	290.9015	142.970286	275.3856	80.8874	442.41548	624.9994542	60	0	2.72783	226.99995	421.9689	138.391733	118.86962	0	451.6062	5272.29459	2418.00008	13.0358	3158.42175	6	2.59475	592.00054	8605.16621	1173.11893	2012.14587	2828.17408	0	0	55.751151	18.3033	80.13555	1147.07774	7590.16751	51.06298	129.53893	2861.57472	13.04278	0	2322.34429	129.64147	289.9505268	116.0000972	1713.18158	1082.251	3771.46043	786.9989	1857.47949	635.2107	539.02292	122.8206647	0	130.0000622	688.00003	10.000005	19.00005	37.442815	11.19663	1	95.000038	122.54394	428.6764018	660.9784	0	285.0003	529.295043	0	2231.000456	1314.78141	3317.394	448.9999	0	809.401	190.151	4	0	397.761814	204.57722	45.38268	84.89998	634.58132	837.7590749	1100.999856	6	167	1293.76605	973.90208	195.038075	321.59865	0	130.306386	286.0455703	66.00005
DRR006376	0	1	140	385.0729	57.52092	15020.999	31.64604	300.38871	58.626137	163.99998	42.69933	284.69355	592.00029	3	0	0	71.999996	191.90326	37.16296	58.19602	0	450.1545	4000.73921	3859.99987	4.41045	3020.126	1	2.407225	839.0002444	13569.30624	2260.5265	3334.45911	2206.982943	0	0	80.08061298	11.2274	45.55455	1195.63624	11816.86113	66.81937	50.43381941	2555.85629	8.06764	1.00000074	2821.00025	88.74824189	488.2	363.0004638	1456.49918	327.6052	13688.04323	462.0002	1440.27337	522.2284787	114.758	52.56590207	2	50.000037	535.00007	8	34.00004	48.70068173	0	0	38.99999	71.90781035	188.075036	352.85955	0	207.000314	363.9994104	0	3093.00055	679.697	3319.5507	444.9998	0	829.213	46.6724	21.00001	0	262.1284143	66.6592	7.945689	23.99997	454.98732	366.9826219	698.9933863	11	138	1246.549429	1576.92274	227.03043	126.787	0	18.22900538	260.77673	31.999963
DRR006377	0	1	68	165.82072	19.0838	13366.003	8.69736	389.7111	81.35223	252.9997	27.8675	272.522198	285.000141	23	0	4.93504	139.00042	248.41836	91.27872	47.00002	0	275.9997	3696.4851	2195.9973	24.2935183	2.04333	3	0	632.99984	9798.17812	1251.9958	110.0001	1393.69207	6.000001616	0	42.99999	45.00001767	61.99997	361.04438	5100.52904	30.87044	50.916941	1466.45299	2.26559	0	1837.6145	89.8388	140.3574	2551.000178	875.5396	161.52589	521.77454	331.0002466	668.2831062	203.06114	146.9340706	92.20978	1	57.99997	167	350.99965	39.00002442	19.0000065	1.11791	1	49.00002	37.84801	152.36306	1753.3463	0	156.00005	310.99953	0	2762.00099	886.7298505	982.14506	238.9998	0	526.753	93.69796	1	0	163.238404	60.45558	1	1.89335	263.99989	520.1348	1090.000948	25.00004	143	752.77706	2724.85448	142.00741	221.84035	0	27.05855	75.49686	44.00001
DRR006378	0	1	133.00009	87.76542	5.13266	4658.9992	3	72.79215	46.748833	72.00002764	9.24057	85.19387	82.00001023	10	0	2	54.99996	67.98389	49.51136915	27.4052	0	133.40138	1651.86346	917.00043	0	66.1673	1	1.00805	163.9999664	2009.53669	418.9957	568.31519	663.01237	0	0	7	8.20505	16.000016	327.65271	2299.440982	12.15454	48.6055	665.93575	1	0	860.0006	13.8244	63.9668	118.999965	352.58277	206.79664	1114.39669	107.999984	455.00021	119.1556009	148.65745	58.289208	0	14.999978	199	7	6	9.840378	3.1378	0	9.999999	38.000071	82.08961	3429.00356	0	71	82.000008	0	512.99917	505.548	728.9659	195.99985	0	249.7907	35.5726	3	0	40.036901	58.99998368	10.95766	10	94.00005	158.81513	344.0000137	3.000001	160	364.8580703	292.08856	101.004835	23.254392	0	12.99999	35.43017	26
DRR006379	0	1	160.8238	340.50394	52.9032	14674.9983	4	398.322794	37.334068	91	72.4589	348.87724	649.0001	19	0	3	58.00005	287.13623	44.109606	56.2002	0	473.87589	1811.21205	3046.00114	19.0945	14.0738	4.000001	10.7732	1030.99975	9603.24387	1043.98108	1174.98319	1568.70809	3	0	126.2555904	29.9533	36.13357	1159.42414	6800.64304	33.66808	71.3835759	1526.974659	10.6184	1.000000101	2935.59182	83.1147	437.73	385.0004627	1257.6722	1000.14223	3415.96865	664.0001	1660.99478	607.5686004	94.02821	59.1589	8.84549	51.9999411	792.99983	6.000004	50.00002	34.09203	7.70546	0	45.999963	184.8841804	256.6809	742.339	0	226.9998	259.141477	1	2119.0049	444.735	3224.852	499.0003521	0	707.934	47.1855	12	0	318.43873	96.819807	14.11831	43	428.9823792	481.365562	748.9996564	14	108	835.0227777	860.60813	107.02111	2750.588	0	32.42237157	206.4461591	25
DRR006380	6.57692	1	105.0000302	104.939573	10.27274666	2945.99901	9.47276	434.6658	100.4592306	65.8176	22.44886	73.22161	187.99985	5	1	3	30.541919	220.477	17.292395	42.9757	0	551.23228	731.5147	2454.99554	31.11896	16.4021	3	20.26474	266.45979	607.84412	274.07213	1314.83857	713.17079	0	0	40.62287	4.45243	15.87371	127.6324004	3077.639255	45.51146	43.65806158	545.50546	9.58454	1.999995496	1760.6605	19.144222	295.2766	244.9998136	544.23804	179.183984	215.65294	171.9998943	399.2045	34.23544037	73.0357	65.11496596	1	89.99998	128	3	2	22.26844967	8.32382	1.00664	30.99999002	28.00002	106.5374	1259.17332	3	101	75.45267	0	495.00019	84.0324	1171.742	226.00011	0	611.107	76.64727	1	0	58.783718	52.15765822	25.2589363	8.86822	213.99956	482.8444	220.0002417	44.99996197	70	112.72523	426.04246	149.061163	147.08968	2.27757	46.86056	170.9816	7
DRR006381	0	1	1362.000138	218.2229	224.19729	11978.002	333.29631	771.929	287.42584	421	44.73502	444.26344	505.9997	141	6	9	393	652.18393	64.46922	46.44929144	0	1298.0998	2624.6897	5557.00271	34.8716	259.6692	7	0	583.0000613	4503.56154	502.18069	2998.78634	4880.0902	0	0	182.8364	8.78265	42	841.83656	12413.94635	35.824	273.936434	1218.16851	29.4527	0	4152.07521	21.6736	405.74131	288.9999	3385.83064	1363.4799	1326.4053	683.9998	758.6766648	280.48274	1375.8772	256.2583	0	121	2130.001	31	71	85.6739	0	0	158.99994	270.2638	988.2816	1089.31805	0	382	603.8502	0	883.000355	2407.26121	7949.16	1560.9993	0	2012.745	484.874	10	0	294.37518	427.6276	47.42304863	92.71581378	889.00032	457.88154	1295.999	10	159	1246.41125	697.54456	593.119837	517.2382	0	289.11702	472.85966	100.00003
DRR006382	2.64439	1	390.000505	174.395	9.59184	1946.99921	2	81.78594	135.66488	66.424	10.06441	97.08589	214.99995	115	26.99997	0	125.9998249	170.16201	24.167002	26.3517	0	385.52101	582.67343	1726.00224	8.01707	0	27	1.80807	248.61319	1654.3923	239.90961	298.00013	991.8329	0	0	16.015958	6.08864	7	247.51418	4204.703009	57.92614346	103.87502	939.80753	5.77588	0	1043.87638	17.7878	90.1075032	174.0001002	347.68731	270.67336	334.19947	201.99978	504.646049	181.4132808	205.71267	56.00007	0	36.999989	241.99982	6.000004	2	35.75451	2.09621	0	190.0002	56.25367	620.46413	3850.9579	0	129	174.99988	0	803.00031	56.9255	2867.3676	481.9999	0	463.12	80.518	1.999995	0	105.8051541	42.80381	73.832604	7	280.99961	533.0689	629.0007755	10	87	677.71572	786.82673	239.06307	519.57085	0	101.65559	115.41002	10
DRR006383	16.5624	1	569.9999	258.9412602	45.86847	817	18.70062	231.210182	769.01309	389.7838	29.34321	270.18087	463.00057	154	3	1	222.99996	259.72548	51.76224	32.58892	0	249.99989	1078.97651	2469.00418	121.10686	11.13048005	0	3.20996	433.00008	2718.5932	1107.6474	208.00007	989.69066	4.048391188	2	15.78962	8.21413	76.49136	316.59624	5385.64473	65.6637999	226.80922	1748.27831	20.38256	0	1412.88926	52.48753	174.97042	255.9999698	783.67423	768.9292	560.93693	351.9999	564.88322	62.15027	608.3523	160.53464	0	69.999963	433.99941	7	7	7.2146	10.72818	1.00189	92.999961	104.481358	668.68761	15092.502	0	260.0008	240.68199	1	1704.99537	198.42156	3274.1448	598.9996	0	547.395	144.104	2	2	144.4992319	88.67384	72.400889	27.00002	653.65414	770.39415	346.9688	13.000003	298.000434	694.62723	1848.71934	385.18238	69.848	0	210.03878	128.675	31.000051
DRR006385	1.9573	1	498.9995	313.92391	93.04917362	18771.00503	68.71258	320.5422	159.597293	370.401	49.56715	305.0633776	377.0006002	134	1	4.98311	232.662067	372.095	68.51895	89.25548	1	671.62097	1856.49547	2116.00371	13.3803	2.02282	8	1.40947	406.765013	2833.3728	677.99925	640.79514	2548.15424	1.999995135	1	57.87195	26.5844	117.85184	1224.13832	8102.603217	32.641786	200.6449442	1290.43535	36.3769	0	3086.34261	36.504593	548.8417	72.999936	2258.34464	781.6369	612.1641788	353.000345	1037.750601	439.8961911	468.151174	137.2574291	0	128.00017	954.00021	39	19	27.28853	7.59212	0	79.00000001	99.39457001	494.59816	422.5771	0	266.0001	283.77232	1	639.9995213	1328.19	2334.377	645.99973	0	1370.312	143.623	4	4	175.02759	240.77101	45.90781	36.99998	532.00055	438.03585	1311.00224	16.00000025	290	1217.1215	971.14323	1085.53406	1160.1739	0	187.3193683	174.97849	44.00005
DRR006386	1	1	78.00006	32.48619	10.19098653	834.0005	4.147941	34.20361	29.03978	38.3049	5.14448	67.04965	56.99999044	4	0	0	10.0000028	15.78965	7.54097	11.2	0	117.0001	75.999982	352.00038	3.71588	8.007745	1	1.40068	118.0000003	281.1334	61	147.00002	315.8819	0	0	12.000003	3.132745	6.99999	138.0162203	552.5360621	9.9046	21.00007	247.272581	1.00613	0	507.04764	4.62412	61.2516104	58.99994464	176.490333	70.9291	47.97298	85.00002	176.273281	37.00000339	59.747	16	0	12.999976	95	1	5	1	1	0	15.99999013	7.000008	57.86944	1180.03	0	24.99997	52.9999903	2	159.9994678	58.9596	279.7437	158.000242	0	156.7448	14.7197	1	0	26.0103128	29.37809	9.123425811	1.359079	43.99996	227.76904	291.99945	4.999994992	16	139.3576722	74.252351	56.89237	31.099528	0	16.000009	36.97443	7
DRR006387	0	1	540.0010003	335.3499	68.5521	17329.9994	48.51946	876.4407	183.45015	323.66833	51.7674	409.79901	544.9999	49	0	0	181	271.862	115.16426	104.312	0	1127.0001	2024.3938	6577.00202	23.12149	64.3141	28	3.03975	1439.75409	5939.4755	1238.999891	4056.6389	5591.69727	0	0	100.68581	20.00002	69.01013	319.29387	6613.17095	31.40744	269.43605	2115.86167	20.3529	3	4641.08806	63.94477	682.0020201	1355.999236	2458.22128	987.5931	2131.86924	651.9994631	2652.243251	804.6339807	499.598948	249.73822	6.61755	130.000084	1336.0002	114	8	66.13918	7.23897	3.03127	116	110.4474515	468.5141	101.631539	0	458.9996	483.17887	1	1892.005	1890.25	3794.409	652.00021	0	1681.059	210.152	23	0	309.935955	362.6921159	51.50439	41.00005	683.74625	967.15479	1599.004	69.00003993	264	1102.46554	994.57168	748.6398253	117.63341	0	106.1450202	319.65634	101.00005
DRR006388	3.36988	1	477.0005	399.628	53.0844	12396.99299	13.86978	509.50721	134.242837	454.56108	36.72508	242.78887	295	19	0	3	139.92757	304.5185	76.47638082	89.00002	0	468.31937	2603.600495	2523.00287	23.9881963	90.5581	10	0	489.99956	4080.443122	923.34278	4696.06886	3236.38501	1	0	38.41573	27.3255	76.08039	945.28433	7931.422949	56.34667	156.4468388	1360.362607	24.59017	0	2547.94441	20.5644	306.3632	527.0004375	1783.23665	601.4229	2086.815864	408.9996	901.09512	591.90695	492.72448	225.37547	0	49.000028	779.00039	125	38.999979	19.80252	11.71171	0	88.99999	112.73379	407.49124	1372.36307	0	236.9997	241.5181	1	1174.001199	2136.39248	1815.512	715.9997	0	774.426	146.305	20.00001	0	245.3758	234.7962	32.3583449	22.00001	459.00082	398.12589	1083.999318	14.99999839	522	1401.93465	740.4101	446.60215	47.70529	4.41688	92.80206	118.4011252	32.99996
DRR006389	3.56471	1	1648.99969	1268.96	201.9916	39328.9949	41.706	1436.257	472.09066	1523.9514	115.41819	703.75241	1004.999281	67	3	5	458.85311	1038.8403	207.49548	306.36865	2	1598.1242	8188.90309	8306.00567	55.815134	206.3321	52	7.98814	1490.69955	13163.90665	2924.0363	14605.36183	10327.9862	7.014613374	0	123.08433	85.4089	245.256	3158.847448	25395.13451	146.483288	449.569094	4543.87889	62.55807	2	7869.75464	78.70514	1013.692	1689.99968	5854.41109	2012.822	6755.81693	1345.000341	2939.79916	1790.81677	1368.1366	655.2195601	1.57842	110.000032	2400.00258	457.0003	138.0000789	48.52773	25.36904	2	265.0004	348.761787	1306.62077	4468.64471	0	762.9994	786.61067	2	3924.003688	6765.10078	5828.1991	2337.99937	0	2576.666	457.02354	55.00003	0	797.44495	731.2324	101.60959	69.00001	1461.00002	1199.87206	3380.994816	34.99999116	1760	4453.2118	2327.79059	1564.896023	168.54128	3.35888	277.3347	355.39362	123.00048
DRR006390	0	1	322.9998	318.5511	80.144	20032.0013	6	281.8665	124.7001	567.99972	16.261	178.93375	293.0003	19	3	5	67	144.718	36.73591	89.29920117	0	685.99999	2797.79957	2076.00315	35.23721	11.12391	2	0	585.99965	8662.1789	1253.0297	654.00048	2300.23331	0	0	28.34553	1.0187	66.00003	737.65109	11645.9445	39.35525	170.21735	1803.874938	20.3903	0	3062.11369	22.5401	634.026	476.99969	685.14664	210.47157	4972.67795	278	1587.091344	467.4091705	252.16964	130.72447	1	69.00001	454.0001	47	47.00002	44.15496	5	0	21.99999	68.85130907	256.85814	16007.44845	0	237.0002	190.25607	0	1669.999715	1781.88054	1589.601	309.9999	0	887.32	91.1601	6.999996	0	210.06699	189.24871	20.1436	16	232.99981	338.50921	1763.9992	22.99999022	191	1935.90417	1398.31247	407.9145834	133.2459	0	32.27389	94.74281	55
DRR006391	0	1	92	114.4825	24.2479	6636.9969	2.5	96.23029	41.566769	176.6604	8.06319	52.45413	88.00006	3	0	0	19	30.7943	9.839465	30.58672	0	253.55139	923.1244	673.9995001	8.16255	2.03524	2	0.757223	191.99998	2828.2897	430.24702	221.99995	677.40083	0	0	8.00056	0	26.00001	55.34366	3785.982937	12.88096	60.62859	544.10894	2.26559	0	993.02607	11.8494	322.7557	142.9999823	299.64494	54.606373	1674.20761	81.00001208	476.0566595	135.8104801	104.799	33.45853228	0	27.999981	137.00034	15	16	10.000005	0	0	7	35.99999	73.52166	5168.1537	0	73	77.112406	0	623.0002	618.32962	483.5778	107	0	267.3002	34.6675	5	0	60.281676	69.0696526	10.78351	2	84.99993	105.857762	578.00028	13	68	588.90567	421.17851	137.8536796	37.254222	0	7.362462	37.10434	20
