	ENSG00000000003	ENSG00000000005	ENSG00000000419	ENSG00000000457	ENSG00000000460	ENSG00000000938	ENSG00000000971	ENSG00000001036	ENSG00000001084	ENSG00000001167	ENSG00000001460	ENSG00000001461	ENSG00000001497	ENSG00000001561	ENSG00000001617	ENSG00000001626	ENSG00000001629	ENSG00000001630	ENSG00000001631	ENSG00000002016	ENSG00000002079	ENSG00000002330	ENSG00000002549	ENSG00000002586	ENSG00000002587	ENSG00000002726	ENSG00000002745	ENSG00000002746	ENSG00000002822	ENSG00000002834	ENSG00000002919	ENSG00000002933	ENSG00000003056	ENSG00000003096	ENSG00000003137	ENSG00000003147	ENSG00000003249	ENSG00000003393	ENSG00000003400	ENSG00000003402	ENSG00000003436	ENSG00000003509	ENSG00000003756	ENSG00000003987	ENSG00000003989	ENSG00000004059	ENSG00000004139	ENSG00000004142	ENSG00000004399	ENSG00000004455	ENSG00000004468	ENSG00000004478	ENSG00000004487	ENSG00000004534	ENSG00000004660	ENSG00000004700	ENSG00000004766	ENSG00000004776	ENSG00000004777	ENSG00000004779	ENSG00000004799	ENSG00000004809	ENSG00000004838	ENSG00000004846	ENSG00000004848	ENSG00000004864	ENSG00000004866	ENSG00000004897	ENSG00000004939	ENSG00000004948	ENSG00000004961	ENSG00000004975	ENSG00000005001	ENSG00000005007	ENSG00000005020	ENSG00000005022	ENSG00000005059	ENSG00000005073	ENSG00000005075	ENSG00000005100	ENSG00000005102	ENSG00000005108	ENSG00000005156	ENSG00000005175	ENSG00000005187	ENSG00000005189	ENSG00000005194	ENSG00000005206	ENSG00000005238	ENSG00000005243	ENSG00000005249	ENSG00000005302	ENSG00000005339	ENSG00000005379	ENSG00000005381	ENSG00000005421	ENSG00000005436	ENSG00000005448	ENSG00000005469
DRR001632	381.04642	1	563.99992	473.8495	131.78201	345.0009	284.60588	641.7604	1895.343623	981	1523.24076	9432.8087	2519.999	1641	509.99972	90.703962	3732.99572	3783.32497	1016.03087	727.9309488	16.99999	3419.05626	1841.9131	2722.99639	1039.8839	1.00049	79	3543.16612	1693.51122	8946.19307	1317.35902	622.00049	3690.93628	291.3251934	3017.9979	2092.72808	6822.98063	2481.53271	260.8624961	3377.95318	1014.56393	481.804222	7344.66069	1193.27434	683.9996784	11173.9135	1227.93585	1676.895	6041.00518	1715.58313	930.47507	8217.73642	2829.0004	2872.83788	13518.422	666.66545	1255.57108	1586.00229	5364.993273	2570.99926	1490.0018	23	200.14132	21.55683	1368.49	823.00012	860.2758267	2671.00573	14.303625	8	837	1456.61424	10	6287.99322	1154.18683	11136.6898	155.9995	0	1604.576	1306.6769	3.000002	1456.8847	1053.82083	502.0955908	37.160742	186.0576914	2585.03289	4265.20371	2566.00042	207.0000883	2457.00219	1700.562022	6139.26272	11300.63414	72.52688	18.02227	464.06201	1334.289749	398.82348
DRR001635	227.12026	1	363.99967	312.9579	92.98529923	209	182.73564	439.71989	1176.1051	623.843	1004.36582	6277.79936	1673.0003	1070	326.99975	63.544191	2455.99705	2532.67378	643.75324	452.84673	13.000006	2308.14316	1246.86033	1804.99681	656.86389	3.15622	51	2219.58321	1079.53597	5799.78652	923.48995	358.99974	2511.63928	202.2604	2050.9969	1368.07779	4428.52498	1669.73031	38.04480435	2318.00989	661.91619	357.07684	4879.73042	745.85658	463.9997648	7199.21335	773.73579	577.187	3972.00024	1241.75834	521.67517	5339.22704	1904.0004	1932.04935	8799.9798	382.32001	809.5452106	1105.00073	3467.99449	1670.99715	989.00004	20	103.187573	28.21145	878.062	577.99918	664.96619	1791.23772	6.80374	3.000003	544	917.4923	6.000001	4200.00503	745.86326	7324.5661	102.00003	0	1088.487	828.09122	3	1029.8671	665.29801	338.004678	19.72823	105.55294	1832.610421	2786.07424	1677.99966	147.0000293	1552.00023	1145.016983	4140.70242	7391.11343	34.142879	13.02399	400.5118051	894.04118	262.99964
DRR001638	266.30711	1	398.9996	308.759	85.27018	208.9999	209.73248	434.8399	1308.57474	648.932	1005.28431	6268.294	1737.9994	1109	351.00025	81.583018	2500.38432	2672.855	656.8931465	475.0953079	15.000004	2436.23814	1280.91465	1858.00098	750.2532	1.01131	39	2294.08591	1096.0638	5951.59389	868.45121	375.99989	2537.65021	199.5205	2140.0008	1322.99681	4499.8112	1676.90012	171.145033	2263.37914	685.94582	347.46641	4683.32166	789.45924	525.3809255	7339.34189	849.11102	794.636	3885.00263	1123.49671	569.74557	5143.07392	2002.99926	1902.25921	9010.448	398.06132	778.7537	1218.99721	3602.99511	1805.99684	1002.00005	13	125.39065	16.6417	959.507	590.0002	640.371478	1825.02269	11.23922	10	548.9994	971.701933	7	4175.00042	757.27388	7295.93381	97	0	1105.831	897.79599	3	1014.5852	651.8238	317.29942	19.04232	98.56335	1760.80548	2803.20202	1668.99947	132.0000186	1700.99948	1157.326558	4169.81122	7653.66744	41	21.027687	364.5880302	917.19733	286.99966
DRR001642	185.01522	1	270.99961	233.032324	80.88761	191	146.3544	418.51636	1067.00487	543.939	862.6906	5379.35394	1473.9999	784	305.99971	63.8623	2142.00326	2177.751	509.605737	411.36237	13.999996	2118.70677	1071.86455	1498.99979	583.1311	5.12988	43	1966.63272	924.57818	5069.81386	739.43416	357.47107	2058.53218	135.147202	1751.0014	1168.85461	4006.93966	1388.32107	154.02429	1857.638156	518.88841	299.67458	4022.07472	647.91947	359.9997121	6182.34495	811.57479	771.659	3408.998688	948.06893	472.07212	4569.71618	1684.0004	1669.35902	7720.811	333.36844	608.8448	910.05845	3251.9957	1540.99908	767.00001	6	97.4817	15.71684	830	515.99983	480.979294	1370.44936	5.228353	1	470	878.3228218	9.000001	3496.00125	611.5741	5818.91243	104.00004	0	919.017	703.5511	2	797.8646	602.50099	281.1148217	15.63222	117.01867	1477.1448	2591.5096	1532.99951	117.9999617	1256.99689	955.8197018	3669.12739	6632.14259	32.42939	10.01263	285.601951	759.48506	228.00031
DRR001624	79.151	1	74.99997	68.37825	17.023486	89.00001386	31.58483	171.85189	315.30655	194.0004	274.56414	1378.81598	492.9997	262	144	12	624.99965	629.51935	157.0457515	141.206377	2.000004	964.94786	282.99515	544.99966	297.5601	1.01806	16	667.84689	487.62971	1575.75702	192.99967	208.99978	525.83997	32.99995	639.0005	279.41197	2112.31707	310.32039	27.95198	510.02533	149.49596	49.02763	1128.58589	179.14966	106.51	3038.96072	232.05272	261.477	1703.00081	190.20001	166.30647	1482.99417	537.9997	507.91653	2839.1783	87.99999	202.559438	637.00016	1929.00078	1052.00383	264.99998	3	48.2742464	4.09863	591.977	128	106.3404399	360.0775717	2	1	105	387.99984	0	1520.99865	155.32016	1811.73966	29	0	340.0705	249.25517	1	252.64329	193.60798	78.99996	4.89055	25.17871	377.98461	1651.01685	490.9993159	32.00001	427	305.8172801	1755.053223	2906.47451	11	0	85.99999	321.46262	63
DRR001627	35.25137	1	61.99999	31.05581945	12.3645	68.99991	25.93175	157.313825	263.27669	154.9999	216.76552	991.91216	420	146	128	10	443.04645	458.399	126.31878	111.77806	4.999998	938.92061	250.99992	342.00005	227.0448	0	14.99996	590.32056	593.83708	1415.4393	160.08782	208.00044	363.88477	24	540.0008	221.6559121	1945.04059	250.66353	21.07673	527.622404	168.46732	54.45166	1019.01547	125.99993	80.99999004	2859.99302	186.924602	133.5861	1684.998967	127.24126	139.79731	1270.99745	518.9991	414.46176	2630.2593	42.85504	130.3084301	692.0192	1946.00079	1032.0011	192.00015	5	29.12406	7.63148	573	73.00009	104.63641	241.97192	0	0	79	409.999924	2	1408.99924	114.14259	1590.85669	20.00003	0	250.1285	207.18812	1	217.912	161.06454	63	2.60216	8.650676	273.077641	1622.47484	501.9996	16.00004883	390	211.00048	2129.19189	2975.87015	13.5	2.0007	65.177855	318.96357	26
DRR001630	330.60485	1	473.0005	409.8846	102.88749	212.00033	253.2096091	602.6608	1600.92294	709.692	1113.84417	7027.12912	1742.003	1672	289.00024	82.898205	3281.58959	3422.49516	895.79302	540.94169	20.000008	2103.70371	1482.71331	1844.00229	702.84024	4.12591	74	2512.4607	910.17471	6002.70842	953.3929094	380.99987	3068.19578	227.9999	1877.9965	1586.58811	4041.96811	2013.15962	217.20447	2838.45938	880.7009018	414.6244	5267.40032	1038.78095	585.0005	6585.9634	756.92059	1431.782	3481.00107	1311.30158	708.799838	5918.18243	2332.9986	2301.0791	8291.6977	582.8191	1204.69908	931.31724	2857.00092	2005.9979	1412.99687	26	117.62422	12.50744	849.968	679.99974	740.24952	2454.5235	3.75397	5	672	899.00901	3	3618.00008	992.679582	7546.2647	120	0	947.545	983.06179	2	1270.568	729.72725	504.8852426	21.759963	129.27682	2068.22714	2247.09697	1528.99964	146.00004	2223.99762	1334.895699	3762.67034	6853.3667	36	17.13238	513.79001	904.23243	315.00013
DRR001633	217.52994	1	349.00052	227.8319528	86.73976036	176.0000036	170.9322501	386.81179	1098.29821	521.9269	782.128944	4891.86434	1318.0003	1038	292.99956	65.999916	2154.75781	2375.7146	617.135885	389.10762	15.00001	1934.26182	999.7767	1514.00144	562.04375	2.28912	40	1812.44985	839.62366	4657.97484	693.000395	331.82103	1974.532654	149	1607.999612	1175.771013	3613.314559	1386.10493	150.7617245	1882.763456	527.52344	284.69526	3619.645951	705.70669	383.6820046	5511.14289	719.0945325	471.514	3057.99702	854.48995	475.33885	4357.95981	1638.00009	1623.96604	7136.2754	324.78443	728.3659	865	2781.99971	1551.0018	927.00042	10.999996	109.52851	8.51281	835.451	464.99968	529.2886493	1523.99138	7.70267	0	445	861.49214	2	3228.00483	680.46274	5590.5966	83.99998035	0	757.106	681.49271	0	862.912	563.47707	313.34077	19.98743022	85.32653	1373.877219	2090.28399	1281.99987	102.999988	1521.00295	917.60879	3228.15626	5976.7527	29.5	9.00979	365.6056201	759.25407	243.99974
DRR001636	348.98192	1	626	491.9768617	111.974	299.9997	313.3898205	697.17942	1878.02493	932	1382.5826	8637.2719	2289.9999	1870	392.00041	91.04823	3876.52011	4128.60426	1073.66386	633.78135	11.999999	3058.06872	1749.71772	2572.00395	958.7014843	10.31095	91	3127.29311	1376.86256	7801.83181	1241.00171	514.99998	3414.90142	280.99956	2614.9947	1915.97668	5921.84193	2320.86298	208.438777	3284.20317	931.18698	509.8282481	6580.86995	1221.03133	677.6818456	9190.92081	1093.727815	1561.285	5034.00492	1569.16356	824.72352	7468.51135	2824.99873	2745.44514	11866.8885	659.85587	1362.25167	1372.99582	4508.9989	2686.99745	1565.00461	25	159.17199	17.19416	1189.94	839.99938	926.0875617	2835.0767	13.8359	7	833	1247.707806	9.000008	5517.9977	1214.15804	9515.8312	136.00024	0	1464.156	1260.520608	5	1569.3551	926.32374	521.41127	30.65045524	155.75416	2441.60781	3519.25829	2140.9997	181.9999818	2587.0027	1608.22382	5507.43464	9754.18397	76.42138	25.02452	597.10851	1197.79172	442.87212
DRR001639	321.75091	1	535.99963	406.2757	123.22202	245.00042	281.47249	603.1485	1619.73643	761.6559	1072.200152	6951.36285	1845.997	1825	290.99975	100.90266	3397.6407	3557.9223	958.98064	550.7689	11.000006	2027.75268	1430.74618	1898.99966	673.9066	4.34494	63	2491.97333	884.91556	5969.51003	971.9994	418.99975	2950.2249	249.1418164	1881.9959	1506.44885	3956.275558	2067.33672	195.05977	2854.35684	896.52738	458.6951095	5196.68223	1087.87473	594.9995468	6622.2927	892.14188	1086.178	3333.99787	1284.97321	709.86881	5827.24419	2323.99928	2441.56167	8225.0729	581.952767	1182.328866	873.46904	2840.00074	2132.0008	1481.00009	24	106.25118	13.08434	797.406	714.99956	714.5283126	2618.08569	4.13092	4.000002	685	900.2135108	2	3590.00224	1108.954261	7613.6214	140.0004	0	919.33	973.4485339	2	1343.5213	738.12877	515.48544	22.55318	118.2342049	1904.67623	2244.0072	1569.995501	161.9999931	2439.99778	1378.017062	3914.23105	6395.11128	35.5	22.03137	508.31261	813.06735	372.00045
DRR001640	233.29152	1	319.9996	288.2969	66.49954	134.0001	169.0293	390.38906	1117.46469	512.6321	769.7561577	4807.43342	1264.0006	1191	211	78.57699	2195.22244	2243.72138	601.33571	387.5376	6.000002	1669.64675	968.89134	1411.99857	515.4783	7.30552	43	1747.22643	751.69789	4282.16131	653.60137	294.00037	1974.76667	156.28547	1434.0002	1070.54106	3037.42625	1359.25611	89.910511	1837.55014	553.69556	284.84454	3581.16628	699.48849	397.7882692	4851.1158	621.982953	721.551	2613.00245	925.78722	482.21027	3978.03304	1590.00082	1596.32983	6238.153	356.474	774.21898	723.0004	2360.00281	1456.99909	968.99988	13	81.61839	11.33633	693.453	487.00011	536.8714149	1648.10614	18.91246	3.999998	446	696.73391	1	2778.99545	681.61203	5150.5796	86.99997	0	764.65	643.30343	2	860.99961	541.02746	348.05389	13.029808	71.917794	1312.34658	1854.46566	1155.997688	107.00002	1573.00134	955.5073407	2807.27842	5229.43482	37.83994	10.01807066	375.1869203	587.92054	244.93093
DRR001641	186.03506	1	304.99962	249.2790014	73.85161	157.99999	147.3064202	380.94549	1004.34769	470.9013	730.381311	4568.41603	1210.0001	953	228.0001081	65.962559	2028.68363	2124.42783	565.019932	321.94403	7.0000001	1775.67743	977.84819	1405.00249	499.7029171	0	42	1650.02199	758.57388	4362.70115	617.00032	298.9995271	1882.469342	144.15217	1401.0006	1019.19177	3236.70337	1296.1275	95.08625	1758.19304	496.64163	259.16952	3502.97481	603.64331	351.0002	4941.432942	575.34379	726.124	2515.00362	803.94265	484.7161	4055.7334	1596.0001	1509.73767	6282.5525	285.571304	704.9420017	699.38401	2477.99927	1483.996	792.00035	11.000001	88.82422	15.90687	699.634	431.9996	488.73389	1405.01989	4.54975	2.999996	408.99992	690.17613	5	2848.99804	629.03369	4920.5173	73.99997	1	746.271	624.05076	1	755.65622	505.41235	319.94154	7.99336	84.88142	1311.849784	1894.16991	1138.9971	107.9999328	1400.99928	852.6637581	2875.10159	5340.5682	30	13.02168	293.83426	649.207184	214.99957
DRR001796	2560.4149	1	3170.0031	460.5165	1637.35558	0	1578.00615	9952.5196	4548.02942	2763.98	711.77293	3856.13172	8995.999	8	11644.00798	5	6219.00202	20853.91317	2143.18132	651.179526	25	3488.06433	4378.96845	11871.97667	170.1285	14.063	14	249.6918	4656.99518	44432.35516	1971.61094	25.999954	18082.73135	2248.16308	283.0001	225.6071238	387.99969	3448.18752	252.726761	2852.63557	7900.99627	934.235538	7129.13245	42.7154	3088.0801	11333.607	398.61691	9436.33	8185.99508	23294.61468	14.409	18238.23026	14259.00074	3635.7328	3923.6091	6873.9903	1914.0884	60.422	556.99967	5193.0001	694.99998	57	113.1195	18.133977	1	5787.00915	1865.511	7274.85357	16	0	3818.0025	7829.996	3	11002.99258	1855.298271	34985.7755	1029.00058	436.2645	5621.1	7861.2337	23	31.335	2792.38407	2610.01911	24.36149	464.8752	5337.89303	3892.21357	1246.00005	555.99992	77	2728.78042	14799.14928	147.0592459	0	1.00013	637.8753701	3238.06303	507.00008
DRR001797	2779.03021	1	3232.00426	464.97669	1520.69278	1.999996	1920.83622	8323.4928	4891.44	3480.957	664.50824	3911.192	10274.9967	11	11739.99332	4	5698.99531	23507.70657	2622.79081	909.9723	18.99996	3208.55601	4337.95499	9820.995895	206.8014	18.057499	15	264.042063	4480.9986	47283.92672	2182.18186	21.00004	19647.15786	2429.93144	324.9996	178.2287	397.6549	3790.37839	484.076298	2874.25765	7848.772697	1032.7574	5573.95528	52.77018	3050.108	9847.13745	471.14869	13482.45	7082.00475	24271.0624	13.0226	20337.44103	15673.03209	5448.77245	3182.5278	6686.7475	1886.12838	38.5299	451.99967	5844.0048	759	62	85.15975	30.43948	1.00033	5705.99617	1893.037591	8612.51224	10	2	4049.9949	8087.97467	6	11477.99133	2214.52217	35543.0765	1029.0004	493.1237	5415.45	8243.9836	21.99995	43	2330.02546	1627.84605	23.57206	625.18877	6414.01811	3502.12323	1831.0004	497.99958	110	2636.071873	13899.10732	147.190654	0	1.00015	706.19625	2611.61112	542.00016
