2016-04-05	ENSG00000000457	ENSG00000000460	ENSG00000000938	ENSG00000000971	ENSG00000001460	ENSG00000001461	ENSG00000004455	ENSG00000004487	ENSG00000003137	ENSG00000003393	ENSG00000003400	ENSG00000003402	ENSG00000003436	ENSG00000003509	ENSG00000005436	ENSG00000005448	ENSG00000001617	ENSG00000003756	ENSG00000004399	ENSG00000004534	ENSG00000004838	ENSG00000002549	ENSG00000002587	ENSG00000004468	ENSG00000005059	ENSG00000001036	ENSG00000001084	ENSG00000001167	ENSG00000001561	ENSG00000004809	ENSG00000001626	ENSG00000001629	ENSG00000001630	ENSG00000001631	ENSG00000002079	ENSG00000002726	ENSG00000002745	ENSG00000002746	ENSG00000002822	ENSG00000002933	ENSG00000003147	ENSG00000004059	ENSG00000004766	ENSG00000004799	ENSG00000004846	ENSG00000004864	ENSG00000004866	ENSG00000004948	ENSG00000005020	ENSG00000005073	ENSG00000005075	ENSG00000005108	ENSG00000005249	ENSG00000005421	ENSG00000005469	ENSG00000003987	ENSG00000003989	ENSG00000005238	ENSG00000002330	ENSG00000002016	ENSG00000003056	ENSG00000004478	ENSG00000004700	ENSG00000005175	ENSG00000003249	ENSG00000004779	ENSG00000005001	ENSG00000005187	ENSG00000005189	ENSG00000005194	ENSG00000005339	ENSG00000002834	ENSG00000002919	ENSG00000004139	ENSG00000004142	ENSG00000004660	ENSG00000004897	ENSG00000004939	ENSG00000004975	ENSG00000005100	ENSG00000005102	ENSG00000005156	ENSG00000005243	ENSG00000005379	ENSG00000005381	ENSG00000004776	ENSG00000004777	ENSG00000005007	ENSG00000005206	ENSG00000000419	ENSG00000000003	ENSG00000000005	ENSG00000001497	ENSG00000002586	ENSG00000003096	ENSG00000004848	ENSG00000004961	ENSG00000005022	ENSG00000005302
DRR001632	473.8495	131.78201	345.0009	284.60588	1523.24076	9432.8087	1715.58313	2829.0004	3017.9979	2481.53271	260.8624961	3377.95318	1014.56393	481.804222	464.06201	1334.289749	509.99972	7344.66069	6041.00518	2872.83788	200.14132	1841.9131	1039.8839	930.47507	155.9995	641.7604	1895.343623	981.0	1641.0	23.0	90.703962	3732.99572	3783.32497	1016.03087	16.99999	1.00049	79.0	3543.16612	1693.51122	622.00049	2092.72808	11173.9135	1255.57108	1490.0018	21.55683	823.00012	860.2758267	8.0	1154.18683	0.0	1604.576	1456.8847	2457.00219	18.02227	398.82348	1193.27434	683.9996784	2566.00042	3419.05626	727.9309488	3690.93628	8217.73642	666.66545	502.0955908	6822.98063	2570.99926	10.0	37.160742	186.0576914	2585.03289	6139.26272	8946.19307	1317.35902	1227.93585	1676.895	13518.422	2671.00573	14.303625	1456.61424	1306.6769	3.000002	1053.82083	207.0000883	11300.63414	72.52688	1586.00229	5364.993273	6287.99322	4265.20371	563.99992	381.04642	1.0	2519.999	2722.99639	291.3251934	1368.49	837.0	11136.6898	1700.562022
DRR001635	312.9579	92.98529923	209.0	182.73564	1004.36582	6277.79936	1241.75834	1904.0004	2050.9969	1669.73031	38.04480435	2318.00989	661.91619	357.07684	400.5118051	894.04118	326.99975	4879.73042	3972.00024	1932.04935	103.187573	1246.86033	656.86389	521.67517	102.00003	439.71989	1176.1051	623.843	1070.0	20.0	63.544191	2455.99705	2532.67378	643.75324	13.000006	3.15622	51.0	2219.58321	1079.53597	358.99974	1368.07779	7199.21335	809.5452106	989.00004	28.21145	577.99918	664.96619	3.000003	745.86326	0.0	1088.487	1029.8671	1552.00023	13.02399	262.99964	745.85658	463.9997648	1677.99966	2308.14316	452.84673	2511.63928	5339.22704	382.32001	338.004678	4428.52498	1670.99715	6.000001	19.72823	105.55294	1832.610421	4140.70242	5799.78652	923.48995	773.73579	577.187	8799.9798	1791.23772	6.80374	917.4923	828.09122	3.0	665.29801	147.0000293	7391.11343	34.142879	1105.00073	3467.99449	4200.00503	2786.07424	363.99967	227.12026	1.0	1673.0003	1804.99681	202.2604	878.062	544.0	7324.5661	1145.016983
DRR001638	308.759	85.27018	208.9999	209.73248	1005.28431	6268.294	1123.49671	2002.99926	2140.0008	1676.90012	171.145033	2263.37914	685.94582	347.46641	364.5880302	917.19733	351.00025	4683.32166	3885.00263	1902.25921	125.39065	1280.91465	750.2532	569.74557	97.0	434.8399	1308.57474	648.932	1109.0	13.0	81.583018	2500.38432	2672.855	656.8931465	15.000004	1.01131	39.0	2294.08591	1096.0638	375.99989	1322.99681	7339.34189	778.7537	1002.00005	16.6417	590.0002	640.371478	10.0	757.27388	0.0	1105.831	1014.5852	1700.99948	21.027687	286.99966	789.45924	525.3809255	1668.99947	2436.23814	475.0953079	2537.65021	5143.07392	398.06132	317.29942	4499.8112	1805.99684	7.0	19.04232	98.56335	1760.80548	4169.81122	5951.59389	868.45121	849.11102	794.636	9010.448	1825.02269	11.23922	971.701933	897.79599	3.0	651.8238	132.0000186	7653.66744	41.0	1218.99721	3602.99511	4175.00042	2803.20202	398.9996	266.30711	1.0	1737.9994	1858.00098	199.5205	959.507	548.9994	7295.93381	1157.326558
DRR001642	233.032324	80.88761	191.0	146.3544	862.6906	5379.35394	948.06893	1684.0004	1751.0014	1388.32107	154.02429	1857.638156	518.88841	299.67458	285.601951	759.48506	305.99971	4022.07472	3408.998688	1669.35902	97.4817	1071.86455	583.1311	472.07212	104.00004	418.51636	1067.00487	543.939	784.0	6.0	63.8623	2142.00326	2177.751	509.605737	13.999996	5.12988	43.0	1966.63272	924.57818	357.47107	1168.85461	6182.34495	608.8448	767.00001	15.71684	515.99983	480.979294	1.0	611.5741	0.0	919.017	797.8646	1256.99689	10.01263	228.00031	647.91947	359.9997121	1532.99951	2118.70677	411.36237	2058.53218	4569.71618	333.36844	281.1148217	4006.93966	1540.99908	9.000001	15.63222	117.01867	1477.1448	3669.12739	5069.81386	739.43416	811.57479	771.659	7720.811	1370.44936	5.228353	878.3228218	703.5511	2.0	602.50099	117.9999617	6632.14259	32.42939	910.05845	3251.9957	3496.00125	2591.5096	270.99961	185.01522	1.0	1473.9999	1498.99979	135.147202	830.0	470.0	5818.91243	955.8197018
DRR001624	68.37825	17.023486	89.00001386	31.58483	274.56414	1378.81598	190.20001	537.9997	639.0005	310.32039	27.95198	510.02533	149.49596	49.02763	85.99999	321.46262	144.0	1128.58589	1703.00081	507.91653	48.2742464	282.99515	297.5601	166.30647	29.0	171.85189	315.30655	194.0004	262.0	3.0	12.0	624.99965	629.51935	157.0457515	2.000004	1.01806	16.0	667.84689	487.62971	208.99978	279.41197	3038.96072	202.559438	264.99998	4.09863	128.0	106.3404399	1.0	155.32016	0.0	340.0705	252.64329	427.0	0.0	63.0	179.14966	106.51	490.9993159	964.94786	141.206377	525.83997	1482.99417	87.99999	78.99996	2112.31707	1052.00383	0.0	4.89055	25.17871	377.98461	1755.053223	1575.75702	192.99967	232.05272	261.477	2839.1783	360.0775717	2.0	387.99984	249.25517	1.0	193.60798	32.00001	2906.47451	11.0	637.00016	1929.00078	1520.99865	1651.01685	74.99997	79.151	1.0	492.9997	544.99966	32.99995	591.977	105.0	1811.73966	305.8172801
DRR001627	31.05581945	12.3645	68.99991	25.93175	216.76552	991.91216	127.24126	518.9991	540.0008	250.66353	21.07673	527.622404	168.46732	54.45166	65.177855	318.96357	128.0	1019.01547	1684.998967	414.46176	29.12406	250.99992	227.0448	139.79731	20.00003	157.313825	263.27669	154.9999	146.0	5.0	10.0	443.04645	458.399	126.31878	4.999998	0.0	14.99996	590.32056	593.83708	208.00044	221.6559121	2859.99302	130.3084301	192.00015	7.63148	73.00009	104.63641	0.0	114.14259	0.0	250.1285	217.912	390.0	2.0007	26.0	125.99993	80.99999004	501.9996	938.92061	111.77806	363.88477	1270.99745	42.85504	63.0	1945.04059	1032.0011	2.0	2.60216	8.650676	273.077641	2129.19189	1415.4393	160.08782	186.924602	133.5861	2630.2593	241.97192	0.0	409.999924	207.18812	1.0	161.06454	16.00004883	2975.87015	13.5	692.0192	1946.00079	1408.99924	1622.47484	61.99999	35.25137	1.0	420.0	342.00005	24.0	573.0	79.0	1590.85669	211.00048
DRR001630	409.8846	102.88749	212.00033	253.2096091	1113.84417	7027.12912	1311.30158	2332.9986	1877.9965	2013.15962	217.20447	2838.45938	880.7009018	414.6244	513.79001	904.23243	289.00024	5267.40032	3481.00107	2301.0791	117.62422	1482.71331	702.84024	708.799838	120.0	602.6608	1600.92294	709.692	1672.0	26.0	82.898205	3281.58959	3422.49516	895.79302	20.000008	4.12591	74.0	2512.4607	910.17471	380.99987	1586.58811	6585.9634	1204.69908	1412.99687	12.50744	679.99974	740.24952	5.0	992.679582	0.0	947.545	1270.568	2223.99762	17.13238	315.00013	1038.78095	585.0005	1528.99964	2103.70371	540.94169	3068.19578	5918.18243	582.8191	504.8852426	4041.96811	2005.9979	3.0	21.759963	129.27682	2068.22714	3762.67034	6002.70842	953.3929094	756.92059	1431.782	8291.6977	2454.5235	3.75397	899.00901	983.06179	2.0	729.72725	146.00004	6853.3667	36.0	931.31724	2857.00092	3618.00008	2247.09697	473.0005	330.60485	1.0	1742.003	1844.00229	227.9999	849.968	672.0	7546.2647	1334.895699
DRR001633	227.8319528	86.73976036	176.0000036	170.9322501	782.128944	4891.86434	854.48995	1638.00009	1607.999612	1386.10493	150.7617245	1882.763456	527.52344	284.69526	365.6056201	759.25407	292.99956	3619.645951	3057.99702	1623.96604	109.52851	999.7767	562.04375	475.33885	83.99998035	386.81179	1098.29821	521.9269	1038.0	10.999996	65.999916	2154.75781	2375.7146	617.135885	15.00001	2.28912	40.0	1812.44985	839.62366	331.82103	1175.771013	5511.14289	728.3659	927.00042	8.51281	464.99968	529.2886493	0.0	680.46274	0.0	757.106	862.912	1521.00295	9.00979	243.99974	705.70669	383.6820046	1281.99987	1934.26182	389.10762	1974.532654	4357.95981	324.78443	313.34077	3613.314559	1551.0018	2.0	19.98743022	85.32653	1373.877219	3228.15626	4657.97484	693.000395	719.0945325	471.514	7136.2754	1523.99138	7.70267	861.49214	681.49271	0.0	563.47707	102.999988	5976.7527	29.5	865.0	2781.99971	3228.00483	2090.28399	349.00052	217.52994	1.0	1318.0003	1514.00144	149.0	835.451	445.0	5590.5966	917.60879
DRR001636	491.9768617	111.974	299.9997	313.3898205	1382.5826	8637.2719	1569.16356	2824.99873	2614.9947	2320.86298	208.438777	3284.20317	931.18698	509.8282481	597.10851	1197.79172	392.00041	6580.86995	5034.00492	2745.44514	159.17199	1749.71772	958.7014843	824.72352	136.00024	697.17942	1878.02493	932.0	1870.0	25.0	91.04823	3876.52011	4128.60426	1073.66386	11.999999	10.31095	91.0	3127.29311	1376.86256	514.99998	1915.97668	9190.92081	1362.25167	1565.00461	17.19416	839.99938	926.0875617	7.0	1214.15804	0.0	1464.156	1569.3551	2587.0027	25.02452	442.87212	1221.03133	677.6818456	2140.9997	3058.06872	633.78135	3414.90142	7468.51135	659.85587	521.41127	5921.84193	2686.99745	9.000008	30.65045524	155.75416	2441.60781	5507.43464	7801.83181	1241.00171	1093.727815	1561.285	11866.8885	2835.0767	13.8359	1247.707806	1260.520608	5.0	926.32374	181.9999818	9754.18397	76.42138	1372.99582	4508.9989	5517.9977	3519.25829	626.0	348.98192	1.0	2289.9999	2572.00395	280.99956	1189.94	833.0	9515.8312	1608.22382
DRR001639	406.2757	123.22202	245.00042	281.47249	1072.200152	6951.36285	1284.97321	2323.99928	1881.9959	2067.33672	195.05977	2854.35684	896.52738	458.6951095	508.31261	813.06735	290.99975	5196.68223	3333.99787	2441.56167	106.25118	1430.74618	673.9066	709.86881	140.0004	603.1485	1619.73643	761.6559	1825.0	24.0	100.90266	3397.6407	3557.9223	958.98064	11.000006	4.34494	63.0	2491.97333	884.91556	418.99975	1506.44885	6622.2927	1182.328866	1481.00009	13.08434	714.99956	714.5283126	4.000002	1108.954261	0.0	919.33	1343.5213	2439.99778	22.03137	372.00045	1087.87473	594.9995468	1569.995501	2027.75268	550.7689	2950.2249	5827.24419	581.952767	515.48544	3956.275558	2132.0008	2.0	22.55318	118.2342049	1904.67623	3914.23105	5969.51003	971.9994	892.14188	1086.178	8225.0729	2618.08569	4.13092	900.2135108	973.4485339	2.0	738.12877	161.9999931	6395.11128	35.5	873.46904	2840.00074	3590.00224	2244.0072	535.99963	321.75091	1.0	1845.997	1898.99966	249.1418164	797.406	685.0	7613.6214	1378.017062
DRR001640	288.2969	66.49954	134.0001	169.0293	769.7561577	4807.43342	925.78722	1590.00082	1434.0002	1359.25611	89.910511	1837.55014	553.69556	284.84454	375.1869203	587.92054	211.0	3581.16628	2613.00245	1596.32983	81.61839	968.89134	515.4783	482.21027	86.99997	390.38906	1117.46469	512.6321	1191.0	13.0	78.57699	2195.22244	2243.72138	601.33571	6.000002	7.30552	43.0	1747.22643	751.69789	294.00037	1070.54106	4851.1158	774.21898	968.99988	11.33633	487.00011	536.8714149	3.999998	681.61203	0.0	764.65	860.99961	1573.00134	10.01807066	244.93093	699.48849	397.7882692	1155.997688	1669.64675	387.5376	1974.76667	3978.03304	356.474	348.05389	3037.42625	1456.99909	1.0	13.029808	71.917794	1312.34658	2807.27842	4282.16131	653.60137	621.982953	721.551	6238.153	1648.10614	18.91246	696.73391	643.30343	2.0	541.02746	107.00002	5229.43482	37.83994	723.0004	2360.00281	2778.99545	1854.46566	319.9996	233.29152	1.0	1264.0006	1411.99857	156.28547	693.453	446.0	5150.5796	955.5073407
DRR001641	249.2790014	73.85161	157.99999	147.3064202	730.381311	4568.41603	803.94265	1596.0001	1401.0006	1296.1275	95.08625	1758.19304	496.64163	259.16952	293.83426	649.207184	228.0001081	3502.97481	2515.00362	1509.73767	88.82422	977.84819	499.7029171	484.7161	73.99997	380.94549	1004.34769	470.9013	953.0	11.000001	65.962559	2028.68363	2124.42783	565.019932	7.0000001	0.0	42.0	1650.02199	758.57388	298.9995271	1019.19177	4941.432942	704.9420017	792.00035	15.90687	431.9996	488.73389	2.999996	629.03369	1.0	746.271	755.65622	1400.99928	13.02168	214.99957	603.64331	351.0002	1138.9971	1775.67743	321.94403	1882.469342	4055.7334	285.571304	319.94154	3236.70337	1483.996	5.0	7.99336	84.88142	1311.849784	2875.10159	4362.70115	617.00032	575.34379	726.124	6282.5525	1405.01989	4.54975	690.17613	624.05076	1.0	505.41235	107.9999328	5340.5682	30.0	699.38401	2477.99927	2848.99804	1894.16991	304.99962	186.03506	1.0	1210.0001	1405.00249	144.15217	699.634	408.99992	4920.5173	852.6637581
DRR001796	460.5165	1637.35558	0.0	1578.00615	711.77293	3856.13172	23294.61468	14259.00074	283.0001	3448.18752	252.726761	2852.63557	7900.99627	934.235538	637.8753701	3238.06303	11644.00798	7129.13245	8185.99508	3635.7328	113.1195	4378.96845	170.1285	14.409	1029.00058	9952.5196	4548.02942	2763.98	8.0	57.0	5.0	6219.00202	20853.91317	2143.18132	25.0	14.063	14.0	249.6918	4656.99518	25.999954	225.6071238	11333.607	1914.0884	694.99998	18.133977	5787.00915	1865.511	0.0	1855.298271	436.2645	5621.1	31.335	77.0	1.00013	507.00008	42.7154	3088.0801	1246.00005	3488.06433	651.179526	18082.73135	18238.23026	6873.9903	2610.01911	387.99969	5193.0001	3.0	24.36149	464.8752	5337.89303	14799.14928	44432.35516	1971.61094	398.61691	9436.33	3923.6091	7274.85357	16.0	7829.996	7861.2337	23.0	2792.38407	555.99992	147.0592459	0.0	60.422	556.99967	11002.99258	3892.21357	3170.0031	2560.4149	1.0	8995.999	11871.97667	2248.16308	1.0	3818.0025	34985.7755	2728.78042
