2016-04-05	ENSG00000000457	ENSG00000000460	ENSG00000000938	ENSG00000000971	ENSG00000001460	ENSG00000001461	ENSG00000004455	ENSG00000004487	ENSG00000003137	ENSG00000003393	ENSG00000003400	ENSG00000003402	ENSG00000003436	ENSG00000003509	ENSG00000005436	ENSG00000005448	ENSG00000001617	ENSG00000003756	ENSG00000004399	ENSG00000004534	ENSG00000004838	ENSG00000002549	ENSG00000002587	ENSG00000004468	ENSG00000005059	ENSG00000001036	ENSG00000001084	ENSG00000001167	ENSG00000001561	ENSG00000004809	ENSG00000001626	ENSG00000001629	ENSG00000001630	ENSG00000001631	ENSG00000002079	ENSG00000002726	ENSG00000002745	ENSG00000002746	ENSG00000002822	ENSG00000002933	ENSG00000003147	ENSG00000004059	ENSG00000004766	ENSG00000004799	ENSG00000004846	ENSG00000004864	ENSG00000004866	ENSG00000004948	ENSG00000005020	ENSG00000005073	ENSG00000005075	ENSG00000005108	ENSG00000005249	ENSG00000005421	ENSG00000005469	ENSG00000003987	ENSG00000003989	ENSG00000005238	ENSG00000002330	ENSG00000002016	ENSG00000003056	ENSG00000004478	ENSG00000004700	ENSG00000005175	ENSG00000003249	ENSG00000004779	ENSG00000005001	ENSG00000005187	ENSG00000005189	ENSG00000005194	ENSG00000005339	ENSG00000002834	ENSG00000002919	ENSG00000004139	ENSG00000004142	ENSG00000004660	ENSG00000004897	ENSG00000004939	ENSG00000004975	ENSG00000005100	ENSG00000005102	ENSG00000005156	ENSG00000005243	ENSG00000005379	ENSG00000005381	ENSG00000004776	ENSG00000004777	ENSG00000005007	ENSG00000005206	ENSG00000000419	ENSG00000000003	ENSG00000000005	ENSG00000001497	ENSG00000002586	ENSG00000003096	ENSG00000004848	ENSG00000004961	ENSG00000005022	ENSG00000005302
DRR001797	464.97669	1520.69278	1.999996	1920.83622	664.50824	3911.192	24271.0624	15673.03209	324.9996	3790.37839	484.076298	2874.25765	7848.772697	1032.7574	706.19625	2611.61112	11739.99332	5573.95528	7082.00475	5448.77245	85.15975	4337.95499	206.8014	13.0226	1029.0004	8323.4928	4891.44	3480.957	11.0	62.0	4.0	5698.99531	23507.70657	2622.79081	18.99996	18.057499	15.0	264.042063	4480.9986	21.00004	178.2287	9847.13745	1886.12838	759.0	30.43948	5705.99617	1893.037591	2.0	2214.52217	493.1237	5415.45	43.0	110.0	1.00015	542.00016	52.77018	3050.108	1831.0004	3208.55601	909.9723	19647.15786	20337.44103	6686.7475	1627.84605	397.6549	5844.0048	6.0	23.57206	625.18877	6414.01811	13899.10732	47283.92672	2182.18186	471.14869	13482.45	3182.5278	8612.51224	10.0	8087.97467	8243.9836	21.99995	2330.02546	497.99958	147.190654	0.0	38.5299	451.99967	11477.99133	3502.12323	3232.00426	2779.03021	1.0	10274.9967	9820.995895	2429.93144	1.00033	4049.9949	35543.0765	2636.071873
DRR001798	438.1871532	1998.07164	1.0	1457.28935	714.69005	3559.6244	23093.64672	16956.96977	190.99999	3939.137	266.69296	2772.83066	7047.41336	962.96242	833.82808	2465.64839	6479.99604	5833.635901	7279.99634	3588.5294	75.15321	4631.99222	148.0661	7.0067	903.00004	10488.11632	6132.69584	3153.005	4.0	119.0	1.0	6482.08532	30474.98981	2404.133931	8.000001	4.01422	25.99998	279.91883	4060.00257	5.000006	132.26018	10027.41038	2381.014315	700.9996	13.53916	7205.00503	2175.74555	0.0	2139.17414	444.4365811	5650.29	34.000045	98.0	0.0	523.00026	80.22098	3237.0447	1267.00073	3032.62116	580.7505268	19008.30994	23153.97655	7164.07523	3157.10225	253.00023	6019.0015	2.0	15.2177	407.58265	5719.9938	13154.19521	48460.52327	1899.00534	300.48178	12526.6	3475.6548	9309.20121	9.0	6947.07713	8697.275	29.00001	2692.19872	366.0000705	78.05685	0.0	39.00002	425.00003	10037.99914	2528.70039	3671.0023	2923.53361	1.0	9220.9942	10479.00352	2810.45201	0.0	4549.0008	36262.5524	2858.618493
DRR001799	735.0389	1738.73643	0.0	1235.31911	1014.7026	6019.10702	23194.41656	14915.02449	288.9999	5961.50498	457.70291	3927.01311	6849.34514	1403.7585	1394.20305	1563.01127	6107.00682	5661.05556	7875.9947	5487.78795	90.1088	3342.98838	180.7856	12.2952	895.99974	6158.117	7663.1114	3874.958	19.0	73.0	6.0	5485.00067	22535.23118	2689.35928	28.00003	5.01922	41.0	261.40921	3547.000923	5.000003774	117.0810924	7763.0893	2162.05429	623.99969	24.39108	7493.00797	2818.11364	1.0	2207.81252	730.53	4561.67	47.999986	72.99995	2.000289	543.99959	127.19975	3494.073903	2717.99905	2294.21016	1130.82352	29184.17266	26609.12872	6431.41239	1373.3415	223.0004	6727.9999	2.0	12.76544	569.98018	6623.96853	20714.01578	40390.16783	4067.004121	307.87622	13754.88	4189.3033	12814.88202	7.0	7007.039	7830.3109	10.0	2767.16518	178.00032	65.05879	0.0	58.47888	318.999696	16014.02046	2054.17059	3780.004	2699.6171	1.0	9227.996	7784.99978	1867.65429	1.0164	4767.0	33565.6849	2613.51135
DRR002274	281.2493	675.08681	0.0	310.88809	98.59351	859.28129	9949.0048	3863.99823	214.0001	1486.6271	198.83145	1328.34608	1219.02446	422.1243	596.70464	1424.26087	6905.3588	1728.0995	4413.99725	1913.52374	34.00336	1372.03385	35.96182	2.06436	88.0	3404.94198	734.779121	706.8899	0.0	1.0	1.0	917.04431	2269.4003	358.3719342	1.0	2.04145	4.0	232.17944	1197.00017	2.0	16.177441	3295.5306	417.2977187	156.00021	20.07605	2554.00246	634.2059202	2.0	109.919204	601.0	1293.133	6.583156	1.0	0.0	108.0	38.69015	4318.903097	247.00002	665.03666	402.49884	3050.08022	11789.08367	515.7546	671.255489	193.80028	1694.99749	0.0	5.77234	396.0004205	2838.32254	1802.72466	9361.21749	1087.516847	45.56983	1420.311	1936.718843	1493.32784	1.15049	1214.08974	2313.84695	2.000005	1115.70508	0.0	13.015097	0.0	3.0	196.0002433	965.99924	2045.69556	967.0000613	608.0367	1.0	2501.99634	2383.99768	494.8029613	4.00606	1578.9983	12948.47	896.6426233
DRR002594	312.8881	340.6578227	0.0	3.819938	405.617016	1350.56782	6488.55847	3689.99435	195.99972	1338.563022	41.941883	1603.99633	1325.502916	496.9967	567.2832083	1876.256893	1074.9998	2353.938995	808.999712	1832.844218	17.365	1390.9971	47.4002	17.43902	665.9999	2003.225	820.6713	1116.5288	416.0	4.0	5.0	1989.96359	4747.166232	779.0216399	96.000047	1.02685	1.0	7.98256	458.99991	0.0	32.89122079	1481.8874	624.8320402	0.0	7.81122	749.9994119	345.9644008	0.0	1245.69755	0.0	453.331	0.0	477.9998	1.00938	111.99998	63.07153	1076.000098	249.999995	550.69365	485.82768	3336.6162	2584.274399	3870.7181	1048.40528	246.88479	1195.9991	0.0	23.71644605	159.9999865	1138.218396	3861.22537	11129.00713	561.466912	188.35338	2867.856	377.20363	3927.02579	4.81497	1102.583911	1971.470174	2.000005	646.63435	181.9999656	6.0115	0.0	7.8921	78.99998	2277.99599	380.72001	2383.002789	755.04614	1.0	1551.0006	3422.99948	155.023825	1.0	863.0	14197.228	689.4586899
DRR002596	277.983	168.53277	2.0	1.5304902	275.07982	1146.5274	6933.29148	2269.9998	61.00002	1022.51075	86.124651	1370.93891	851.9403765	455.94531	572.47933	1604.98303	657.99981	2456.9121	666.00027	2111.17054	8.524342	1532.6079	25.35176	6.28719	582.0005	1612.23742	1423.922	1159.64	261.0	0.0	3.0	1447.99864	3580.74	661.1209995	56.00009	1.01672	0.0	4.06416	354.00021	0.0	30.96642	1617.36204	577.8905879	0.0	20.6999	414.00029	263.72387	0.0	810.65721	0.0	588.533	1.00002	346.0003	1.01746	119.99996	79.64364	918.8651164	510.0004	620.3099	724.00017	3038.93773	2122.43603	3735.368	805.2365261	141.05083	1268.9982	1.0	26.64950884	154.1956606	889.55694	3109.32925	8109.45405	538.4514189	154.208	2518.862	74.46051	3370.081039	0.0	757.02928	1347.2458	0.0	564.11826	121.000101	4.02107	0.0	15.7842	64.99991	1880.00131	635.95252	2308.0001	632.0883	1.0	1287.00025	3386.99843	42.00001154	0.0	929.0	13839.48	965.5367168
DRR002597	359.7186	178.263466	5.0	3.38598	413.975988	1413.036	8288.88101	2438.0004	47.00004	1557.6283	125.320631	1297.96114	1041.687094	620.6565299	575.7325006	1630.7803	450.999509	3126.18411	499.9997797	3018.448801	3.282592	2106.86273	33.961245	11.4142	659.0005	1990.81806	3003.846225	1473.669	374.0	1.0	1.75278	2021.73451	4496.274267	793.27088	24.99998	3.13156	5.0	7.61546	305.0	0.0	56.04421	1555.16926	648.2918	0.0	13.72229	568.00004	411.39934	0.0	682.12229	0.0	467.277	0.0	278.0	3.24129	156.99995	108.6091	539.0	661.9996859	555.2543	880.63663	3911.39278	2608.68713	4667.96479	967.60876	102.2244	1531.00398	1.0	26.03095	108.01426	1206.984	3530.26469	7493.87449	629.84955	220.51606	2548.18	80.39289	4225.83685	2.29186	728.25057	1652.7124	0.0	840.47206	169.9998766	8.10009	0.0	3.15684	39.99997	1904.995105	578.61213	2947.9974	621.1383	1.0	1148.0003	3807.00234	28.16934081	0.0	1079.0	16869.66	1389.410995
DRR003595	537.16943	304.17159	0.0	6911.52347	140.405512	2542.85139	3117.968456	4269.9969	140.99997	3594.19212	29.974782	2851.955086	8442.160109	721.9972	838.8350629	433.64133	687.9994	4619.308403	1100.00008	2199.467836	14.17146	1011.17373	615.4623064	3.12078	645.8761	6204.1818	1206.13178	1655.60319	67.0	1.0	6.83369	5187.0021	7784.45079	1727.339347	155.00001	0.0	4.000001	5.22399	272.99969	1.0	3.133149	2006.9961	1365.531444	0.0	12.40587	2567.99638	1212.3148	0.0	257.706341	0.0	400.75	319.78823	778.0	0.0	1201.00001	83.5938	2.000003272	1983.9998	542.863	443.2079085	12222.15668	3323.04584	5901.82919	2160.94615	389.29649	2111.00466	0.0	19.386403	103.433979	2295.997509	2139.99107	9177.26647	762.38166	537.82537	2266.218	67.09818	8243.86226	0.0	660.00066	1346.7265	0.0	475.5401313	702.0000922	90.006292	0.0	7.8921	36.000046	1896.00232	632.94688	1838.9955	1400.07	1.0	784.0003938	3256.99759	316.7178928	1.04904	1897.0028	4651.114	1119.336998
DRR003596	652.6889	551.66403	0.0	8085.57467	266.15076	1145.90051	3275.521925	6016.004	133.99994	4412.07993	11.59132	1968.65709	6144.72279	687.7522001	764.9172701	647.2110567	303.99956	5725.23196	608.000404	2375.335758	24.73238	2277.70927	782.6323	6.18849	1736.1893	4056.5529	1335.43197	2067.78834	80.0	2.0	5.89319	5971.002795	861.8963	1993.12426	200.99992	1.0143	17.00002	2.35185	362.00015	0.0	13.31871	2796.06853	1593.004992	3.000001	4.57529	986.99962	855.83468	0.0	133.6618	0.0	741.896	282.60308	1132.0	0.0	1690.00158	86.18357	0.999999791	1939.0003	559.78166	487.27174	15341.1286	3327.17765	6742.265	1942.28475	445.6658	3065.99971	0.0	113.34357	221.0001571	2885.66184	2130.2628	6980.3175	1168.859689	184.34188	1735.911	131.0	5982.736867	0.0	840.45337	2344.30348	0.0	988.86928	384.9995033	55.11887	0.0	33.1468	66.00008774	1832.99788	720.4230776	1767.995	2063.79972	1.0	1381.99991	2519.99764	746.2292	3.00371	1156.9993	8196.627	2235.06564
DRR003597	411.25688	475.5140108	0.0	2803.89	264.55494	2249.87275	3295.08582	5339.998	135.0	2508.388664	17.782743	1840.79563	6152.0985	597.8236	776.3025013	488.94453	1036.00026	3227.41844	1471.999626	1515.50519	12.409206	1181.7667	449.5247	3.05342	1156.5614	4860.99881	1083.68404	1439.1967	80.0	1.0	5.83923	4677.99724	6576.932	1377.909364	194.0	2.01386	11.0	1.01529	336.9997206	0.0	1.0	2674.58651	1137.152268	1.0	5.25141	2430.001809	1137.354557	0.0	178.32583	0.0	539.983	260.5810092	687.0	0.0	922.00035	70.15686	0.999999578	2105.986131	647.14312	259.99988	11355.13046	4257.54443	3137.46104	1410.10978	729.2275	2015.00412	0.0	42.168892	65.99999	2896.26083	1705.5778	12850.55538	898.89479	551.847932	2275.617	63.25968	6304.4428	1.0	966.84586	888.8606	1.0	603.44933	415.99984	71.007553	0.0	14.2058	62.99998	2518.9961	639.841678	1799.9954	1425.67154	1.0	959.0001	3204.99543	634.30677	3.25424	1874.003	6525.579	1335.63727
DRR003598	204.2423409	305.7655	0.0	1549.8186	212.27118	867.50966	2405.61711	2926.99772	53.99996	1735.59522	10.1463515	926.63269	3675.111873	255.92251	394.6074	438.9838	512.00085	2184.01988	566.9995971	1345.8151	25.04152	619.63103	957.5008	1.0	571.4873	2892.38777	660.44536	1231.3695	41.0	1.0	0.0	2768.00191	2940.91957	1029.15867	58.0	0.0	6.0	1.67427	226.0001106	1.0	5.79036	1757.0116	446.8695853	0.0	5.99875	1119.000174	474.7406152	0.0	61.597	0.0	575.098	273.9995209	192.0	0.0	407.00049	15.67743	0.0	1318.99921	481.07036	264.1147437	6907.44894	2866.23989	3085.90012	661.81098	363.79626	1083.0003	0.0	25.939003	127.249278	1587.08401	1703.53253	8270.30684	492.05183	289.1137	449.537	83.04503009	3314.84954	0.0	620.45002	956.51921	0.0	380.063586	538.9998423	31.007886	0.0	3.15684	112.9999715	1965.00222	593.97174	1012.0006	386.76924	1.0	680.00037	2250.9982	170.3092549	2.0	792.9999	3582.953	1112.30246
DRR006374	39.75302	5.74671	1728.99568	7.7353	24.69239396	51.940139	187.88969	110.99998	0.0	18.793345	6.099916014	3265.702073	19.751433	32.06871	10.97553	28.40443201	0.0	449.441668	378.0002522	125.68826	5.0	341.749707	58.06379	271.1975	109.00002	99.440961	205.01696	65.0	38.0	2.0	0.0	52.000029	113.541	32.9681974	0.0	0.0	0.0	0.0	69.99996	115.9999466	3.0	505.2152	14.999997	7.0	5.23721	27.00001	82.544657	0.0	163.432327	0.0	215.446	0.0	556.00043	0.0	6.9999991	1.999996	0.99999979	432.9803	92.77708	4.999996	415.5718	289.69728	89.05671	17.331005	1.01836	86.00003	0.0	28.95066	7.000001395	102.9999	1012.30247	1023.09241	184.9228	15.06723	33.31910151	58.9243201	99.61482	16323.5514	57.79958	39.8149	0.0	73.6308	4.000001	128.00564	27.56171	0.0	35.99997	597.9998	154.67565	80.00000073	2.26834	1.0	111.0	1077.99934	1.0	0.0	31.9999546	790.5359	146.6466141
DRR006375	541.9166	85.9941	27260.988	455.1252375	80.8874	442.41548	1713.18158	786.9989	0.0	80.13555	1147.07774	7590.16751	51.06298	129.53893	130.306386	286.0455703	0.0	2861.57472	116.0000972	1857.47949	37.442815	5272.29459	13.0358	1082.251	448.9999	290.9015	142.970286	275.3856	60.0	19.00005	2.72783	226.99995	421.9689	138.391733	0.0	3158.42175	6.0	2.59475	592.00054	2012.14587	55.751151	2322.34429	122.8206647	10.000005	11.19663	95.000038	122.54394	0.0	1314.78141	0.0	809.401	0.0	167.0	0.0	66.00005	13.04278	0.0	1100.999856	451.6062	118.86962	2828.17408	3771.46043	539.02292	204.57722	18.3033	688.00003	0.0	45.38268	84.89998	634.58132	973.90208	8605.16621	1173.11893	129.64147	289.9505268	635.2107	428.6764018	660.9784	529.295043	190.151	4.0	397.761814	6.0	195.038075	321.59865	0.0	130.0000622	2231.000456	837.7590749	444.9991598	5.32206	1.0	624.9994542	2418.00008	0.0	1.0	285.0003	3317.394	1293.76605
DRR006376	385.0729	57.52092	15020.999	31.64604	42.69933	284.69355	1456.49918	462.0002	0.0	45.55455	1195.63624	11816.86113	66.81937	50.43381941	18.22900538	260.77673	0.0	2555.85629	363.0004638	1440.27337	48.70068173	4000.73921	4.41045	327.6052	444.9998	300.38871	58.626137	163.99998	3.0	34.00004	0.0	71.999996	191.90326	37.16296	0.0	3020.126	1.0	2.407225	839.0002444	3334.45911	80.08061298	2821.00025	52.56590207	8.0	0.0	38.99999	71.90781035	0.0	679.697	0.0	829.213	0.0	138.0	0.0	31.999963	8.06764	1.00000074	698.9933863	450.1545	58.19602	2206.982943	13688.04323	114.758	66.6592	11.2274	535.00007	0.0	7.945689	23.99997	454.98732	1576.92274	13569.30624	2260.5265	88.74824189	488.2	522.2284787	188.075036	352.85955	363.9994104	46.6724	21.00001	262.1284143	11.0	227.03043	126.787	2.0	50.000037	3093.00055	366.9826219	140.0	0.0	1.0	592.00029	3859.99987	0.0	0.0	207.000314	3319.5507	1246.549429
DRR006377	165.82072	19.0838	13366.003	8.69736	27.8675	272.522198	875.5396	331.0002466	0.0	61.99997	361.04438	5100.52904	30.87044	50.916941	27.05855	75.49686	0.0	1466.45299	2551.000178	668.2831062	19.0000065	3696.4851	24.2935183	161.52589	238.9998	389.7111	81.35223	252.9997	23.0	39.00002442	4.93504	139.00042	248.41836	91.27872	0.0	2.04333	3.0	0.0	632.99984	110.0001	42.99999	1837.6145	92.20978	350.99965	1.11791	49.00002	37.84801	0.0	886.7298505	0.0	526.753	0.0	143.0	0.0	44.00001	2.26559	0.0	1090.000948	275.9997	47.00002	1393.69207	521.77454	146.9340706	60.45558	45.00001767	167.0	0.0	1.0	1.89335	263.99989	2724.85448	9798.17812	1251.9958	89.8388	140.3574	203.06114	152.36306	1753.3463	310.99953	93.69796	1.0	163.238404	25.00004	142.00741	221.84035	1.0	57.99997	2762.00099	520.1348	68.0	0.0	1.0	285.000141	2195.9973	6.000001616	1.0	156.00005	982.14506	752.77706
DRR006378	87.76542	5.13266	4658.9992	3.0	9.24057	85.19387	352.58277	107.999984	0.0	16.000016	327.65271	2299.440982	12.15454	48.6055	12.99999	35.43017	0.0	665.93575	118.999965	455.00021	9.840378	1651.86346	0.0	206.79664	195.99985	72.79215	46.748833	72.00002764	10.0	6.0	2.0	54.99996	67.98389	49.51136915	0.0	66.1673	1.0	1.00805	163.9999664	568.31519	7.0	860.0006	58.289208	7.0	3.1378	9.999999	38.000071	0.0	505.548	0.0	249.7907	0.0	160.0	0.0	26.0	1.0	0.0	344.0000137	133.40138	27.4052	663.01237	1114.39669	148.65745	58.99998368	8.20505	199.0	0.0	10.95766	10.0	94.00005	292.08856	2009.53669	418.9957	13.8244	63.9668	119.1556009	82.08961	3429.00356	82.000008	35.5726	3.0	40.036901	3.000001	101.004835	23.254392	0.0	14.999978	512.99917	158.81513	133.00009	0.0	1.0	82.00001023	917.00043	0.0	0.0	71.0	728.9659	364.8580703
DRR006379	340.50394	52.9032	14674.9983	4.0	72.4589	348.87724	1257.6722	664.0001	0.0	36.13357	1159.42414	6800.64304	33.66808	71.3835759	32.42237157	206.4461591	0.0	1526.974659	385.0004627	1660.99478	34.09203	1811.21205	19.0945	1000.14223	499.0003521	398.322794	37.334068	91.0	19.0	50.00002	3.0	58.00005	287.13623	44.109606	0.0	14.0738	4.000001	10.7732	1030.99975	1174.98319	126.2555904	2935.59182	59.1589	6.000004	7.70546	45.999963	184.8841804	0.0	444.735	0.0	707.934	0.0	108.0	0.0	25.0	10.6184	1.000000101	748.9996564	473.87589	56.2002	1568.70809	3415.96865	94.02821	96.819807	29.9533	792.99983	1.0	14.11831	43.0	428.9823792	860.60813	9603.24387	1043.98108	83.1147	437.73	607.5686004	256.6809	742.339	259.141477	47.1855	12.0	318.43873	14.0	107.02111	2750.588	8.84549	51.9999411	2119.0049	481.365562	160.8238	0.0	1.0	649.0001	3046.00114	3.0	0.0	226.9998	3224.852	835.0227777
DRR006380	104.939573	10.27274666	2945.99901	9.47276	22.44886	73.22161	544.23804	171.9998943	0.0	15.87371	127.6324004	3077.639255	45.51146	43.65806158	46.86056	170.9816	1.0	545.50546	244.9998136	399.2045	22.26844967	731.5147	31.11896	179.183984	226.00011	434.6658	100.4592306	65.8176	5.0	2.0	3.0	30.541919	220.477	17.292395	0.0	16.4021	3.0	20.26474	266.45979	1314.83857	40.62287	1760.6605	65.11496596	3.0	8.32382	30.99999002	28.00002	3.0	84.0324	0.0	611.107	0.0	70.0	2.27757	7.0	9.58454	1.999995496	220.0002417	551.23228	42.9757	713.17079	215.65294	73.0357	52.15765822	4.45243	128.0	0.0	25.2589363	8.86822	213.99956	426.04246	607.84412	274.07213	19.144222	295.2766	34.23544037	106.5374	1259.17332	75.45267	76.64727	1.0	58.783718	44.99996197	149.061163	147.08968	1.0	89.99998	495.00019	482.8444	105.0000302	6.57692	1.0	187.99985	2454.99554	0.0	1.00664	101.0	1171.742	112.72523
DRR006381	218.2229	224.19729	11978.002	333.29631	44.73502	444.26344	3385.83064	683.9998	0.0	42.0	841.83656	12413.94635	35.824	273.936434	289.11702	472.85966	6.0	1218.16851	288.9999	758.6766648	85.6739	2624.6897	34.8716	1363.4799	1560.9993	771.929	287.42584	421.0	141.0	71.0	9.0	393.0	652.18393	64.46922	0.0	259.6692	7.0	0.0	583.0000613	2998.78634	182.8364	4152.07521	256.2583	31.0	0.0	158.99994	270.2638	0.0	2407.26121	0.0	2012.745	0.0	159.0	0.0	100.00003	29.4527	0.0	1295.999	1298.0998	46.44929144	4880.0902	1326.4053	1375.8772	427.6276	8.78265	2130.001	0.0	47.42304863	92.71581378	889.00032	697.54456	4503.56154	502.18069	21.6736	405.74131	280.48274	988.2816	1089.31805	603.8502	484.874	10.0	294.37518	10.0	593.119837	517.2382	0.0	121.0	883.000355	457.88154	1362.000138	0.0	1.0	505.9997	5557.00271	0.0	0.0	382.0	7949.16	1246.41125
DRR006382	174.395	9.59184	1946.99921	2.0	10.06441	97.08589	347.68731	201.99978	0.0	7.0	247.51418	4204.703009	57.92614346	103.87502	101.65559	115.41002	26.99997	939.80753	174.0001002	504.646049	35.75451	582.67343	8.01707	270.67336	481.9999	81.78594	135.66488	66.424	115.0	2.0	0.0	125.9998249	170.16201	24.167002	0.0	0.0	27.0	1.80807	248.61319	298.00013	16.015958	1043.87638	56.00007	6.000004	2.09621	190.0002	56.25367	0.0	56.9255	0.0	463.12	0.0	87.0	0.0	10.0	5.77588	0.0	629.0007755	385.52101	26.3517	991.8329	334.19947	205.71267	42.80381	6.08864	241.99982	0.0	73.832604	7.0	280.99961	786.82673	1654.3923	239.90961	17.7878	90.1075032	181.4132808	620.46413	3850.9579	174.99988	80.518	1.999995	105.8051541	10.0	239.06307	519.57085	0.0	36.999989	803.00031	533.0689	390.000505	2.64439	1.0	214.99995	1726.00224	0.0	0.0	129.0	2867.3676	677.71572
DRR006383	258.9412602	45.86847	817.0	18.70062	29.34321	270.18087	783.67423	351.9999	2.0	76.49136	316.59624	5385.64473	65.6637999	226.80922	210.03878	128.675	3.0	1748.27831	255.9999698	564.88322	7.2146	1078.97651	121.10686	768.9292	598.9996	231.210182	769.01309	389.7838	154.0	7.0	1.0	222.99996	259.72548	51.76224	0.0	11.13048005	0.0	3.20996	433.00008	208.00007	15.78962	1412.88926	160.53464	7.0	10.72818	92.999961	104.481358	0.0	198.42156	0.0	547.395	2.0	298.000434	0.0	31.000051	20.38256	0.0	346.9688	249.99989	32.58892	989.69066	560.93693	608.3523	88.67384	8.21413	433.99941	1.0	72.400889	27.00002	653.65414	1848.71934	2718.5932	1107.6474	52.48753	174.97042	62.15027	668.68761	15092.502	240.68199	144.104	2.0	144.4992319	13.000003	385.18238	69.848	0.0	69.999963	1704.99537	770.39415	569.9999	16.5624	1.0	463.00057	2469.00418	4.048391188	1.00189	260.0008	3274.1448	694.62723
DRR006385	313.92391	93.04917362	18771.00503	68.71258	49.56715	305.0633776	2258.34464	353.000345	1.0	117.85184	1224.13832	8102.603217	32.641786	200.6449442	187.3193683	174.97849	1.0	1290.43535	72.999936	1037.750601	27.28853	1856.49547	13.3803	781.6369	645.99973	320.5422	159.597293	370.401	134.0	19.0	4.98311	232.662067	372.095	68.51895	1.0	2.02282	8.0	1.40947	406.765013	640.79514	57.87195	3086.34261	137.2574291	39.0	7.59212	79.00000001	99.39457001	0.0	1328.19	0.0	1370.312	4.0	290.0	0.0	44.00005	36.3769	0.0	1311.00224	671.62097	89.25548	2548.15424	612.1641788	468.151174	240.77101	26.5844	954.00021	1.0	45.90781	36.99998	532.00055	971.14323	2833.3728	677.99925	36.504593	548.8417	439.8961911	494.59816	422.5771	283.77232	143.623	4.0	175.02759	16.00000025	1085.53406	1160.1739	0.0	128.00017	639.9995213	438.03585	498.9995	1.9573	1.0	377.0006002	2116.00371	1.999995135	0.0	266.0001	2334.377	1217.1215
DRR006386	32.48619	10.19098653	834.0005	4.147941	5.14448	67.04965	176.490333	85.00002	0.0	6.99999	138.0162203	552.5360621	9.9046	21.00007	16.000009	36.97443	0.0	247.272581	58.99994464	176.273281	1.0	75.999982	3.71588	70.9291	158.000242	34.20361	29.03978	38.3049	4.0	5.0	0.0	10.0000028	15.78965	7.54097	0.0	8.007745	1.0	1.40068	118.0000003	147.00002	12.000003	507.04764	16.0	1.0	1.0	15.99999013	7.000008	0.0	58.9596	0.0	156.7448	0.0	16.0	0.0	7.0	1.00613	0.0	291.99945	117.0001	11.2	315.8819	47.97298	59.747	29.37809	3.132745	95.0	2.0	9.123425811	1.359079	43.99996	74.252351	281.1334	61.0	4.62412	61.2516104	37.00000339	57.86944	1180.03	52.9999903	14.7197	1.0	26.0103128	4.999994992	56.89237	31.099528	0.0	12.999976	159.9994678	227.76904	78.00006	1.0	1.0	56.99999044	352.00038	0.0	0.0	24.99997	279.7437	139.3576722
DRR006387	335.3499	68.5521	17329.9994	48.51946	51.7674	409.79901	2458.22128	651.9994631	0.0	69.01013	319.29387	6613.17095	31.40744	269.43605	106.1450202	319.65634	0.0	2115.86167	1355.999236	2652.243251	66.13918	2024.3938	23.12149	987.5931	652.00021	876.4407	183.45015	323.66833	49.0	8.0	0.0	181.0	271.862	115.16426	0.0	64.3141	28.0	3.03975	1439.75409	4056.6389	100.68581	4641.08806	249.73822	114.0	7.23897	116.0	110.4474515	0.0	1890.25	0.0	1681.059	0.0	264.0	0.0	101.00005	20.3529	3.0	1599.004	1127.0001	104.312	5591.69727	2131.86924	499.598948	362.6921159	20.00002	1336.0002	1.0	51.50439	41.00005	683.74625	994.57168	5939.4755	1238.999891	63.94477	682.0020201	804.6339807	468.5141	101.631539	483.17887	210.152	23.0	309.935955	69.00003993	748.6398253	117.63341	6.61755	130.000084	1892.005	967.15479	540.0010003	0.0	1.0	544.9999	6577.00202	0.0	3.03127	458.9996	3794.409	1102.46554
DRR006388	399.628	53.0844	12396.99299	13.86978	36.72508	242.78887	1783.23665	408.9996	0.0	76.08039	945.28433	7931.422949	56.34667	156.4468388	92.80206	118.4011252	0.0	1360.362607	527.0004375	901.09512	19.80252	2603.600495	23.9881963	601.4229	715.9997	509.50721	134.242837	454.56108	19.0	38.999979	3.0	139.92757	304.5185	76.47638082	0.0	90.5581	10.0	0.0	489.99956	4696.06886	38.41573	2547.94441	225.37547	125.0	11.71171	88.99999	112.73379	0.0	2136.39248	0.0	774.426	0.0	522.0	4.41688	32.99996	24.59017	0.0	1083.999318	468.31937	89.00002	3236.38501	2086.815864	492.72448	234.7962	27.3255	779.00039	1.0	32.3583449	22.00001	459.00082	740.4101	4080.443122	923.34278	20.5644	306.3632	591.90695	407.49124	1372.36307	241.5181	146.305	20.00001	245.3758	14.99999839	446.60215	47.70529	0.0	49.000028	1174.001199	398.12589	477.0005	3.36988	1.0	295.0	2523.00287	1.0	0.0	236.9997	1815.512	1401.93465
