24/03/2017	DRR000897	DRR001173	DRR001174	DRR001175	DRR001622	DRR001631	DRR001634	DRR001637	DRR001623	DRR001626	DRR001632	DRR001635	DRR001638	DRR001642	DRR001624	DRR001627	DRR001630	DRR001633	DRR001636	DRR001639	DRR001640	DRR001641	DRR001796	DRR001797	DRR001798	DRR001799	DRR002274	DRR002594	DRR002596	DRR002597	DRR003595	DRR003596	DRR003597	DRR003598	DRR006374	DRR006375	DRR006376	DRR006377	DRR006378	DRR006379	DRR006380	DRR006381	DRR006382	DRR006383	DRR006385	DRR006386	DRR006387	DRR006388	DRR006389	DRR006390	DRR006391
ENSG00000004700	487.74961	1.0	3839.79879	0.0	98.07079	374.7805	368.15107	362.73018	29.843	37.98395	666.66545	382.32001	398.06132	333.36844	87.99999	42.85504	582.8191	324.78443	659.85587	581.952767	356.474	285.571304	6873.9903	6686.7475	7164.07523	6431.41239	515.7546	3870.7181	3735.368	4667.96479	5901.82919	6742.265	3137.46104	3085.90012	89.05671	539.02292	114.758	146.9340706	148.65745	94.02821	73.0357	1375.8772	205.71267	608.3523	468.151174	59.747	499.598948	492.72448	1368.1366	252.16964	104.799
ENSG00000004766	270.1994727	1.0	760.5851618	0.0	230.0051529	740.873486	780.29877	826.77501	93.83400009	79.00382001	1255.57108	809.5452106	778.7537	608.8448	202.559438	130.3084301	1204.69908	728.3659	1362.25167	1182.328866	774.21898	704.9420017	1914.0884	1886.12838	2381.014315	2162.05429	417.2977187	624.8320402	577.8905879	648.2918	1365.531444	1593.004992	1137.152268	446.8695853	14.999997	122.8206647	52.56590207	92.20978	58.289208	59.1589	65.11496596	256.2583	56.00007	160.53464	137.2574291	16.0	249.73822	225.37547	655.2195601	130.72447	33.45853228
ENSG00000004776	11.04376	1.0	11.0489	0.0	480.0	1039.9974	1056.59672	1664.96779	556.0	506.34071	1586.00229	1105.00073	1218.99721	910.05845	637.00016	692.0192	931.31724	865.0	1372.99582	873.46904	723.0004	699.38401	60.422	38.5299	39.00002	58.47888	3.0	7.8921	15.7842	3.15684	7.8921	33.1468	14.2058	3.15684	0.0	0.0	2.0	1.0	0.0	8.84549	1.0	0.0	0.0	0.0	0.0	0.0	6.61755	0.0	1.57842	1.0	0.0
ENSG00000004777	41.99995	1.0	44.999973	0.0	1327.9999	3576.997077	3661.997928	6274.9977	1387.00055	1332.99944	5364.993273	3467.99449	3602.99511	3251.9957	1929.00078	1946.00079	2857.00092	2781.99971	4508.9989	2840.00074	2360.00281	2477.99927	556.99967	451.99967	425.00003	318.999696	196.0002433	78.99998	64.99991	39.99997	36.000046	66.00008774	62.99998	112.9999715	35.99997	130.0000622	50.000037	57.99997	14.999978	51.9999411	89.99998	121.0	36.999989	69.999963	128.00017	12.999976	130.000084	49.000028	110.000032	69.00001	27.999981
ENSG00000004779	1577.00442	1.0	1450.00298	0.0	919.99971	1710.0003	1687.9991	2340.99891	962.00027	960.0004	2570.99926	1670.99715	1805.99684	1540.99908	1052.00383	1032.0011	2005.9979	1551.0018	2686.99745	2132.0008	1456.99909	1483.996	5193.0001	5844.0048	6019.0015	6727.9999	1694.99749	1195.9991	1268.9982	1531.00398	2111.00466	3065.99971	2015.00412	1083.0003	86.00003	688.00003	535.00007	167.0	199.0	792.99983	128.0	2130.001	241.99982	433.99941	954.00021	95.0	1336.0002	779.00039	2400.00258	454.0001	137.00034
ENSG00000004799	1481.99582	1.0	2.0	0.0	249.0001	867.00052	831.99997	1028.00004	97.00002	110.0	1490.0018	989.00004	1002.00005	767.00001	264.99998	192.00015	1412.99687	927.00042	1565.00461	1481.00009	968.99988	792.00035	694.99998	759.0	700.9996	623.99969	156.00021	0.0	0.0	0.0	0.0	3.000001	1.0	0.0	7.0	10.000005	8.0	350.99965	7.0	6.000004	3.0	31.0	6.000004	7.0	39.0	1.0	114.0	125.0	457.0003	47.0	15.0
ENSG00000004809	0.0	1.0	8.0	0.0	6.0	15.0	12.0	16.000002	1.0	2.0	23.0	20.0	13.0	6.0	3.0	5.0	26.0	10.999996	25.0	24.0	13.0	11.000001	57.0	62.0	119.0	73.0	1.0	4.0	0.0	1.0	1.0	2.0	1.0	1.0	2.0	19.00005	34.00004	39.00002442	6.0	50.00002	2.0	71.0	2.0	7.0	19.0	5.0	8.0	38.999979	138.0000789	47.00002	16.0
ENSG00000004838	21.65379	1.0	20.49269	0.0	46.64415	119.82963	140.58288	179.76496	27.16746	31.56008	200.14132	103.187573	125.39065	97.4817	48.2742464	29.12406	117.62422	109.52851	159.17199	106.25118	81.61839	88.82422	113.1195	85.15975	75.15321	90.1088	34.00336	17.365	8.524342	3.282592	14.17146	24.73238	12.409206	25.04152	5.0	37.442815	48.70068173	19.0000065	9.840378	34.09203	22.26844967	85.6739	35.75451	7.2146	27.28853	1.0	66.13918	19.80252	48.52773	44.15496	10.000005
ENSG00000004846	0.0	1.0	5.6484	0.0	8.18236	14.54531	12.26898	15.01003	4.0963	6.07635	21.55683	28.21145	16.6417	15.71684	4.09863	7.63148	12.50744	8.51281	17.19416	13.08434	11.33633	15.90687	18.133977	30.43948	13.53916	24.39108	20.07605	7.81122	20.6999	13.72229	12.40587	4.57529	5.25141	5.99875	5.23721	11.19663	0.0	1.11791	3.1378	7.70546	8.32382	0.0	2.09621	10.72818	7.59212	1.0	7.23897	11.71171	25.36904	5.0	0.0
ENSG00000004848	0.0	1.0	6.0	0.0	381.605	839.024	870.524	1451.65	468.0	503.972	1368.49	878.062	959.507	830.0	591.977	573.0	849.968	835.451	1189.94	797.406	693.453	699.634	1.0	1.00033	0.0	1.0164	4.00606	1.0	0.0	0.0	1.04904	3.00371	3.25424	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.00664	0.0	0.0	1.00189	0.0	0.0	3.03127	0.0	2.0	0.0	0.0
ENSG00000004864	1230.9994	1.0	1372.000163	0.0	132.00004	595.99988	535.99956	640.99985	42.000012	48.999984	823.00012	577.99918	590.0002	515.99983	128.0	73.00009	679.99974	464.99968	839.99938	714.99956	487.00011	431.9996	5787.00915	5705.99617	7205.00503	7493.00797	2554.00246	749.9994119	414.00029	568.00004	2567.99638	986.99962	2430.001809	1119.000174	27.00001	95.000038	38.99999	49.00002	9.999999	45.999963	30.99999002	158.99994	190.0002	92.999961	79.00000001	15.99999013	116.0	88.99999	265.0004	21.99999	7.0
ENSG00000004866	494.5554006	1.0	508.3966299	0.0	128.951472	603.42757	542.2349742	654.502509	53.659062	58.99993397	860.2758267	664.96619	640.371478	480.979294	106.3404399	104.63641	740.24952	529.2886493	926.0875617	714.5283126	536.8714149	488.73389	1865.511	1893.037591	2175.74555	2818.11364	634.2059202	345.9644008	263.72387	411.39934	1212.3148	855.83468	1137.354557	474.7406152	82.544657	122.54394	71.90781035	37.84801	38.000071	184.8841804	28.00002	270.2638	56.25367	104.481358	99.39457001	7.000008	110.4474515	112.73379	348.761787	68.85130907	35.99999
ENSG00000004897	991.39134	1.0	6250.4487	0.0	416.15974	1539.27902	1546.37142	1776.09236	128.97195	130.85221	2671.00573	1791.23772	1825.02269	1370.44936	360.0775717	241.97192	2454.5235	1523.99138	2835.0767	2618.08569	1648.10614	1405.01989	7274.85357	8612.51224	9309.20121	12814.88202	1493.32784	3927.02579	3370.081039	4225.83685	8243.86226	5982.736867	6304.4428	3314.84954	99.61482	428.6764018	188.075036	152.36306	82.08961	256.6809	106.5374	988.2816	620.46413	668.68761	494.59816	57.86944	468.5141	407.49124	1306.62077	256.85814	73.52166
ENSG00000004939	0.0	1.0	0.0	0.0	4.8705	14.16295	24.6941	26.8175	0.0	1.0	14.303625	6.80374	11.23922	5.228353	2.0	0.0	3.75397	7.70267	13.8359	4.13092	18.91246	4.54975	16.0	10.0	9.0	7.0	1.15049	4.81497	0.0	2.29186	0.0	0.0	1.0	0.0	16323.5514	660.9784	352.85955	1753.3463	3429.00356	742.339	1259.17332	1089.31805	3850.9579	15092.502	422.5771	1180.03	101.631539	1372.36307	4468.64471	16007.44845	5168.1537
ENSG00000004948	0.0	1.0	1.0	0.0	1.0	4.0	4.000004	3.0	0.0	0.0	8.0	3.000003	10.0	1.0	1.0	0.0	5.0	0.0	7.0	4.000002	3.999998	2.999996	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000004961	628.0003	1.0	1135.001	0.0	132.0	465.0	482.0	636.0	47.0	39.0	837.0	544.0	548.9994	470.0	105.0	79.0	672.0	445.0	833.0	685.0	446.0	408.99992	3818.0025	4049.9949	4549.0008	4767.0	1578.9983	863.0	929.0	1079.0	1897.0028	1156.9993	1874.003	792.9999	31.9999546	285.0003	207.000314	156.00005	71.0	226.9998	101.0	382.0	129.0	260.0008	266.0001	24.99997	458.9996	236.9997	762.9994	237.0002	73.0
ENSG00000004975	1411.00099	1.0	1420.214836	0.0	376.807808	1142.38621	1165.633	1602.56063	254.99975	272.0	1456.61424	917.4923	971.701933	878.3228218	387.99984	409.999924	899.00901	861.49214	1247.707806	900.2135108	696.73391	690.17613	7829.996	8087.97467	6947.07713	7007.039	1214.08974	1102.583911	757.02928	728.25057	660.00066	840.45337	966.84586	620.45002	57.79958	529.295043	363.9994104	310.99953	82.000008	259.141477	75.45267	603.8502	174.99988	240.68199	283.77232	52.9999903	483.17887	241.5181	786.61067	190.25607	77.112406
ENSG00000005001	0.0	1.0	1.0	0.0	2.0	8.000002	4.0	11.000005	1.0	0.0	10.0	6.000001	7.0	9.000001	0.0	2.0	3.0	2.0	9.000008	2.0	1.0	5.0	3.0	6.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0
