24/03/2017	DRR000897	DRR001173	DRR001174	DRR001175	DRR001622	DRR001631	DRR001634	DRR001637	DRR001623	DRR001626	DRR001632	DRR001635	DRR001638	DRR001642	DRR001624	DRR001627	DRR001630	DRR001633	DRR001636	DRR001639	DRR001640	DRR001641	DRR001796	DRR001797	DRR001798	DRR001799	DRR002274	DRR002594	DRR002596	DRR002597	DRR003595	DRR003596	DRR003597	DRR003598	DRR006374	DRR006375	DRR006376	DRR006377	DRR006378	DRR006379	DRR006380	DRR006381	DRR006382	DRR006383	DRR006385	DRR006386	DRR006387	DRR006388	DRR006389	DRR006390	DRR006391
PC1	7.558686103927327	3.3055584018780375	-3.312217253583066	-59.00298507489946	16.70664028690669	17.666375524859934	15.903015431730742	18.21049215619724	20.099776903347546	18.55225957438564	17.368796625351347	17.292170702801478	17.684581596012492	17.21066827062756	16.875152189785425	21.843942457402168	15.6466058681484	17.408028152158657	16.007947927692264	15.672394802745208	15.192904995855443	17.174444371732193	2.081955606176595	1.6951103291946108	0.9069860355916807	0.027399389753337874	-0.35051964196585383	-7.016213992043929	-9.92468571698107	-11.931948468679577	-8.163771989683127	-9.193271176237081	-6.937131684893721	-9.979498599159742	-12.219435530305608	-12.651936699553767	-12.59921093188509	-14.04507056134158	-15.58668201983524	-6.420482305332957	-8.104940283531292	-15.234930845309329	-5.58123034574981	-7.766261425336511	-8.549407712791556	-11.9656233813338	-10.985934389352721	-15.989171223505531	-13.47422403243421	-14.437657839114044	-16.667450579422187
PC2	10.471952063770805	4.448324074577031	16.405014507783978	43.42101345869289	0.6000655725933933	0.16807053006374933	1.139130756347419	-0.7330287990438202	1.5594437451892453	-0.8173713393405494	0.5691145983553401	1.134629757943613	0.7881782633732045	0.7386384991855068	0.6684844174432709	-0.6994730948860599	2.3290557229759625	0.8416218541351835	1.042169713121787	2.072236477929914	1.3091525408305213	1.4392075166707339	12.525476082464913	12.650478358456546	13.470904729153037	14.73991691553623	16.797853497984484	16.865627448262263	17.65785248648611	16.42493554801649	19.75621065184796	19.731571683426463	19.05437924549668	19.7679110511955	-14.768564478275318	-17.950448286878917	-20.109536716653565	-12.735149359291125	-19.21836637244311	-22.086553690998084	-14.883538656147726	-15.705178072322276	-20.872363231714868	-13.664916827291519	-16.220180462202947	-18.657571595894066	-15.096343062252453	-14.287986076266396	-14.598094899839406	-19.027571583009852	-18.456385164558238
PC3	-16.23022341882511	14.21787976964729	-11.040714569046289	43.98778056580243	7.315596058439653	5.849560407472128	6.836329466030784	6.214621853946386	7.583463854498995	7.368498581712851	5.833136099544522	6.064354272278269	6.02106794729969	6.155302368576524	7.2323077398245585	6.390761024967221	6.166495456617743	5.852204179643844	6.56570999609503	6.103022624878675	6.7958548835230435	5.780680593226783	-14.232934187444886	-13.927185413551666	-15.6565499671108	-13.667968920777708	-12.86139080919913	-9.869767057453842	-8.79306440163646	-8.25127136623639	-8.675213300309878	-6.818505606979436	-9.22238455657808	-7.24793669149738	-3.0917942907003733	-0.4959705687652816	-1.9545164384372775	1.668556324358651	-0.038895538186688616	-1.5094613745018828	1.890424290175019	-1.1930297534275833	-7.46258257110131	-3.606874058878252	-0.7857994415974374	-1.645387564596045	0.9293893830789222	1.3791030197128877	1.106994395837785	-1.4372269872744476	-1.5924463030760383
PC4	13.833580118935693	7.893357881559843	-4.7875021744254775	6.575603064089447	-0.601964085604316	-0.9364429347599598	-0.4827975175652989	-0.11802024973259065	-2.4637665698976403	-0.7148426962804556	-0.9503748360385217	-0.6979005834752238	-0.7774163440210174	-0.2698472133352736	-0.34396303851418925	-0.7882032596428715	-0.8434701781210246	-1.332490095517303	-0.20378720736567213	-0.8983874562332221	-0.41197304428363074	-0.9876609348201913	8.842584496215538	8.663296290524627	8.656203410717163	7.407342067756729	12.196067877021221	-4.265032010454801	-4.938526172174663	-4.9635003124925445	-10.20187062845778	-9.746784401909201	-9.856882858179828	-9.483860451564752	-7.058399685030703	1.430828792738348	6.076873691783925	-1.234633868502806	1.363983507606285	2.883512428064781	1.597355471519424	0.521105278351323	-4.034779249033518	-4.801167074230548	-3.2521483028805203	0.07351802382264552	1.6985483918336608	0.7452338825871637	1.713597276487225	-0.025005944921329383	0.30080942785174514
PC5	-1.0718378300494307	20.998498145481538	-0.03690674027721954	-3.1033402948350695	-0.8643319823102537	-0.22298994620053936	-0.9753301858145013	-0.19672401891406244	-3.6879010135357198	-3.2373135488799756	-0.20829339917107595	-0.2520389691098072	0.3872500567856246	-0.5717395367735227	-3.1394341937420776	-2.38890217448181	-0.5331699534669107	-1.211207247903004	-0.03948672647677147	-0.5733759212522921	-0.28423614901137895	-0.139133827989819	0.404014346628253	0.8746414834699825	-0.07202929031678107	-0.13303310811662356	-1.4838219010735691	-1.6599716431435159	-2.915447862620414	-2.3834979241541014	2.5507428357000625	2.693000278884986	2.5950832288994814	1.3488015776604212	0.5813993042631914	0.11487372355475318	-5.479656450271654	-5.251167262701999	-1.3543614323927375	-0.8950511173693491	3.317971195436746	0.3620274584842513	3.772802748039461	4.777604235836833	2.6394729855291765	4.16062594731949	-3.545226184974756	0.1877612759679985	-0.47156423120091295	-1.1782256484693472	-2.205823110941243
PC6	4.080873640668866	-3.31768950713828	-8.455619122275523	0.4810917578039747	-0.06290209748983039	-0.3954745011562383	0.08365254201865856	-0.31444432179690385	0.835461407651799	1.300624884349341	-0.39324701883717034	0.05297527992820581	-0.5450085268997236	-0.03936078670834868	0.7500327565556635	0.40662562948218084	-0.1374348515776269	0.07452246950853272	0.002332632166648016	0.0015893152655960807	-0.03121215554009886	-0.39727570139998747	1.4061755206291675	1.3408373429595974	1.5183476053965774	0.3948656263676521	-0.3513709710068738	-9.563684833515982	-9.853868086583642	-9.163278860742425	6.891774503575171	7.247596189573259	6.783281626581438	7.086559426357191	-1.8205017641891568	2.368940138863393	2.5452039273800757	1.6011448268368063	-0.7064831580098239	-2.1544905265981034	-2.932968568374519	2.302277034341098	-2.5183756012419583	-0.7259178500406973	1.0491139868476238	-0.04660859398592324	1.1740291081286431	0.5298867842415915	0.09684092115906426	-0.002617021744600984	1.523177542215577
PC7	3.762714902817704	1.7337267414108193	4.802739861390729	-1.596383761997832	-0.40490539557430566	-0.23029968706031348	-0.6455762776940834	-0.1453372424978972	-1.0446894544459269	-0.6749541320833322	-0.4065193345922331	0.11006287749263477	-0.26633817637353946	1.1346651015358775	-0.8735268798295777	0.05424750535558837	1.0555576584872801	0.14362870237878272	0.7686615135600345	0.9752605182385856	0.06625815493055712	-0.9641182340835031	-2.0781742778170185	-1.7808913234058732	-2.903347399751836	-2.891641316357429	-5.2504081949225085	1.6675034250525398	1.8845587894755667	1.6396743424322624	1.4975276179111214	1.5510020463370136	1.9495342103706013	-0.056373891193499795	-10.611352725148338	6.246040028464502	7.251980954295414	-5.0757635486678785	2.4495997552394755	3.3394291552552993	-0.8619418692510984	3.491101500124261	-4.30172304966599	-3.166090011540823	0.7536967065564387	0.473077411185593	2.566715530640836	0.5943234385341061	0.6893032143437384	-2.6917796278107917	-3.7304558520516755
PC8	2.078759739286517	-3.9247345433135497	-2.9613902015515197	2.1439012134080415	0.7710218207398187	-0.3528661770759093	-0.2615917143817049	-0.2561237308337814	1.697654634424475	3.6691523563289756	-0.6989503444078499	-0.5747080720431124	-0.9478648852139124	0.051755306826417595	2.061898279060545	0.5217961180441948	-1.1626159522077166	-0.17115958754079294	-0.6188598013597799	-1.1612509902350372	-0.3908219839156729	-1.2652452479141536	-0.474027567796945	-0.7147308136223145	-1.5476700364356308	-1.8401821437418682	3.7250169394471664	-0.6103045640431952	0.5946611493861792	1.0178040057327697	-0.1500031042561851	-0.47393323842341034	-0.4002963170903914	1.1846366957506926	-0.2825528385378645	3.2148377866157807	-0.043409563461797765	-7.018726681654386	-0.8273033558227412	-1.4747049136471195	6.059182634821213	0.8144525444466941	7.021055801063552	2.9450213311116396	-1.1289343679853336	4.115388337301069	0.4509478777825047	-2.7722834056190635	-2.4543872500796735	-3.7452963200159894	-3.4320148573497784
PC9	-1.6563785425663309	-3.088181871699897	-0.2627002043399501	0.2703459094376971	-0.45520393316976276	0.8927410501383454	0.6688246672920993	-0.07930581983622915	-4.222885578712979	-2.445592889676878	0.9275947475144243	0.6868694633411563	0.9935125391889376	0.8168027984629778	-0.890330034360191	-3.24994781161598	1.9472307268835631	1.8272655874252848	1.6612939506932785	2.3345246266497193	2.2426465685917725	1.0773894114470157	-0.5427223915086159	0.08014957500632143	-0.19792734813249865	0.8316020731669861	3.708853033361503	-0.32599004737479026	-0.8841774160466922	0.2082929136189497	-0.03827417218562483	-0.4855552752404093	-0.9153424544158506	-2.220012696006291	0.7331839585907662	3.996937461524507	-2.0070507567433102	-2.2703165093455473	2.1986757870480136	-3.7854541386749716	-3.008042477777053	4.185390566821702	-1.7526739596855718	4.400353180890916	2.836722410649444	-1.7904400686687891	-2.604434761743572	1.739912789589467	1.3091202533238357	-0.5341543825773143	-2.86314050855357
PC10	-1.3932930202664395	-0.06941832978574888	-0.40570104006567675	0.18143751724925544	-1.2879793175044176	-0.44398775195179946	-0.7683476224496971	-0.3309306200736242	0.8915128186082193	-0.3915744154907332	0.38805683775840105	-0.33373239622824474	-0.08909522814964989	-0.1972061345266017	-0.07001013492624625	2.0477861394537893	0.5403911648973568	-0.005607922390992141	-0.2028320008949479	0.34558447785195906	-0.8971626827661026	0.9320138166728699	-0.7996304876126825	-0.6922893461241635	0.25206365478266346	0.7912696222929322	2.199515713751384	-0.6472848427995285	0.3118012076027512	0.7552464790760579	-0.37688870220508786	0.03524386110522723	-0.46777897749807384	0.3137977109411241	-6.009723358243738	-2.592198909046435	-3.9934664470299484	-0.012744332932860238	-1.2357398999797549	-0.7929155650546609	-2.6431050478779317	3.9888553429496283	6.588417196787349	-4.442182058489831	4.773166539464384	-0.999073074944824	2.419060629476521	1.1007387353357112	1.684682656982389	1.408462814471231	0.6427947297992714
